Trace1,
Freq,,Amp,,
                   0,Hz,              -15.19, dBm,
             2500000,Hz,              -52.06, dBm,
             5000000,Hz,              -51.21, dBm,
             7500000,Hz,              -51.03, dBm,
            10000000,Hz,              -48.44, dBm,
            12500000,Hz,              -53.59, dBm,
            15000000,Hz,              -51.26, dBm,
            17500000,Hz,              -53.09, dBm,
            20000000,Hz,              -51.45, dBm,
            22500000,Hz,              -51.47, dBm,
            25000000,Hz,              -53.79, dBm,
            27500000,Hz,              -53.39, dBm,
            30000000,Hz,              -52.39, dBm,
            32500000,Hz,              -52.10, dBm,
            35000000,Hz,              -51.43, dBm,
            37500000,Hz,              -51.15, dBm,
            40000000,Hz,              -50.35, dBm,
            42500000,Hz,              -50.25, dBm,
            45000000,Hz,              -49.54, dBm,
            47500000,Hz,              -49.05, dBm,
            50000000,Hz,              -48.96, dBm,
            52500000,Hz,              -48.30, dBm,
            55000000,Hz,              -48.04, dBm,
            57500000,Hz,              -47.69, dBm,
            60000000,Hz,              -47.71, dBm,
            62500000,Hz,              -47.51, dBm,
            65000000,Hz,              -47.53, dBm,
            67500000,Hz,              -47.38, dBm,
            70000000,Hz,              -47.11, dBm,
            72500000,Hz,              -46.63, dBm,
            75000000,Hz,              -46.27, dBm,
            77500000,Hz,              -45.78, dBm,
            80000000,Hz,              -45.78, dBm,
            82500000,Hz,              -45.28, dBm,
            85000000,Hz,              -45.04, dBm,
            87500000,Hz,              -44.76, dBm,
            90000000,Hz,              -44.48, dBm,
            92500000,Hz,              -44.27, dBm,
            95000000,Hz,              -44.15, dBm,
            97500000,Hz,              -43.99, dBm,
           100000000,Hz,              -43.75, dBm,
           102500000,Hz,              -43.82, dBm,
           105000000,Hz,              -43.90, dBm,
           107500000,Hz,              -43.95, dBm,
           110000000,Hz,              -43.92, dBm,
           112500000,Hz,              -43.65, dBm,
           115000000,Hz,              -43.37, dBm,
           117500000,Hz,              -42.94, dBm,
           120000000,Hz,              -42.73, dBm,
           122500000,Hz,              -42.42, dBm,
           125000000,Hz,              -42.03, dBm,
           127500000,Hz,              -41.83, dBm,
           130000000,Hz,              -41.70, dBm,
           132500000,Hz,              -41.48, dBm,
           135000000,Hz,              -41.33, dBm,
           137500000,Hz,              -41.33, dBm,
           140000000,Hz,              -41.20, dBm,
           142500000,Hz,              -41.16, dBm,
           145000000,Hz,              -41.18, dBm,
           147500000,Hz,              -41.19, dBm,
           150000000,Hz,              -41.07, dBm,
           152500000,Hz,              -41.18, dBm,
           155000000,Hz,              -41.02, dBm,
           157500000,Hz,              -40.75, dBm,
           160000000,Hz,              -40.45, dBm,
           162500000,Hz,              -40.26, dBm,
           165000000,Hz,              -39.80, dBm,
           167500000,Hz,              -39.36, dBm,
           170000000,Hz,              -39.21, dBm,
           172500000,Hz,              -38.97, dBm,
           175000000,Hz,              -38.98, dBm,
           177500000,Hz,              -38.92, dBm,
           180000000,Hz,              -38.75, dBm,
           182500000,Hz,              -38.73, dBm,
           185000000,Hz,              -38.72, dBm,
           187500000,Hz,              -38.72, dBm,
           190000000,Hz,              -38.76, dBm,
           192500000,Hz,              -38.70, dBm,
           195000000,Hz,              -38.65, dBm,
           197500000,Hz,              -38.66, dBm,
           200000000,Hz,              -38.72, dBm,
           202500000,Hz,              -38.56, dBm,
           205000000,Hz,              -38.48, dBm,
           207500000,Hz,              -38.38, dBm,
           210000000,Hz,              -38.24, dBm,
           212500000,Hz,              -38.18, dBm,
           215000000,Hz,              -38.17, dBm,
           217500000,Hz,              -38.13, dBm,
           220000000,Hz,              -38.17, dBm,
           222500000,Hz,              -38.38, dBm,
           225000000,Hz,              -38.30, dBm,
           227500000,Hz,              -38.45, dBm,
           230000000,Hz,              -38.40, dBm,
           232500000,Hz,              -38.48, dBm,
           235000000,Hz,              -38.45, dBm,
           237500000,Hz,              -38.53, dBm,
           240000000,Hz,              -38.69, dBm,
           242500000,Hz,              -38.97, dBm,
           245000000,Hz,              -39.46, dBm,
           247500000,Hz,              -39.81, dBm,
           250000000,Hz,              -40.12, dBm,
           252500000,Hz,              -40.13, dBm,
           255000000,Hz,              -40.12, dBm,
           257500000,Hz,              -40.06, dBm,
