Trace1,
Freq,,Amp,,
                   0,Hz,               -5.22, dBm,
             2500000,Hz,                4.03, dBm,
             5000000,Hz,                5.04, dBm,
             7500000,Hz,                4.73, dBm,
            10000000,Hz,                4.06, dBm,
            12500000,Hz,                3.67, dBm,
            15000000,Hz,                3.26, dBm,
            17500000,Hz,                3.05, dBm,
            20000000,Hz,                2.81, dBm,
            22500000,Hz,                2.55, dBm,
            25000000,Hz,                2.24, dBm,
            27500000,Hz,                2.06, dBm,
            30000000,Hz,                1.89, dBm,
            32500000,Hz,                1.73, dBm,
            35000000,Hz,                1.52, dBm,
            37500000,Hz,                1.26, dBm,
            40000000,Hz,                1.07, dBm,
            42500000,Hz,                0.81, dBm,
            45000000,Hz,                0.51, dBm,
            47500000,Hz,                0.23, dBm,
            50000000,Hz,               -0.01, dBm,
            52500000,Hz,               -0.27, dBm,
            55000000,Hz,               -0.57, dBm,
            57500000,Hz,               -0.86, dBm,
            60000000,Hz,               -1.14, dBm,
            62500000,Hz,               -1.39, dBm,
            65000000,Hz,               -1.67, dBm,
            67500000,Hz,               -1.90, dBm,
            70000000,Hz,               -2.14, dBm,
            72500000,Hz,               -2.33, dBm,
            75000000,Hz,               -2.52, dBm,
            77500000,Hz,               -2.68, dBm,
            80000000,Hz,               -2.84, dBm,
            82500000,Hz,               -2.99, dBm,
            85000000,Hz,               -3.13, dBm,
            87500000,Hz,               -3.24, dBm,
            90000000,Hz,               -3.42, dBm,
            92500000,Hz,               -3.55, dBm,
            95000000,Hz,               -3.67, dBm,
            97500000,Hz,               -3.79, dBm,
           100000000,Hz,               -3.94, dBm,
           102500000,Hz,               -4.10, dBm,
           105000000,Hz,               -4.18, dBm,
           107500000,Hz,               -4.35, dBm,
           110000000,Hz,               -4.53, dBm,
           112500000,Hz,               -4.70, dBm,
           115000000,Hz,               -4.85, dBm,
           117500000,Hz,               -5.07, dBm,
           120000000,Hz,               -5.24, dBm,
           122500000,Hz,               -5.39, dBm,
           125000000,Hz,               -5.58, dBm,
           127500000,Hz,               -5.70, dBm,
           130000000,Hz,               -5.90, dBm,
           132500000,Hz,               -6.05, dBm,
           135000000,Hz,               -6.15, dBm,
           137500000,Hz,               -6.32, dBm,
           140000000,Hz,               -6.42, dBm,
           142500000,Hz,               -6.54, dBm,
           145000000,Hz,               -6.63, dBm,
           147500000,Hz,               -6.71, dBm,
           150000000,Hz,               -6.80, dBm,
           152500000,Hz,               -6.81, dBm,
           155000000,Hz,               -6.92, dBm,
           157500000,Hz,               -7.01, dBm,
           160000000,Hz,               -7.05, dBm,
           162500000,Hz,               -7.11, dBm,
           165000000,Hz,               -7.20, dBm,
           167500000,Hz,               -7.26, dBm,
           170000000,Hz,               -7.34, dBm,
           172500000,Hz,               -7.40, dBm,
           175000000,Hz,               -7.53, dBm,
           177500000,Hz,               -7.66, dBm,
           180000000,Hz,               -7.81, dBm,
           182500000,Hz,               -8.01, dBm,
           185000000,Hz,               -8.12, dBm,
           187500000,Hz,               -8.30, dBm,
           190000000,Hz,               -8.45, dBm,
           192500000,Hz,               -8.63, dBm,
           195000000,Hz,               -8.82, dBm,
           197500000,Hz,               -8.91, dBm,
           200000000,Hz,               -9.05, dBm,
           202500000,Hz,               -9.14, dBm,
           205000000,Hz,               -9.22, dBm,
           207500000,Hz,               -9.32, dBm,
           210000000,Hz,               -9.43, dBm,
           212500000,Hz,               -9.49, dBm,
           215000000,Hz,               -9.57, dBm,
           217500000,Hz,               -9.62, dBm,
           220000000,Hz,               -9.62, dBm,
           222500000,Hz,               -9.60, dBm,
           225000000,Hz,               -9.58, dBm,
           227500000,Hz,               -9.61, dBm,
           230000000,Hz,               -9.60, dBm,
           232500000,Hz,               -9.59, dBm,
           235000000,Hz,               -9.56, dBm,
           237500000,Hz,               -9.54, dBm,
           240000000,Hz,               -9.53, dBm,
           242500000,Hz,               -9.54, dBm,
           245000000,Hz,               -9.59, dBm,
           247500000,Hz,               -9.64, dBm,
           250000000,Hz,               -9.69, dBm,
           252500000,Hz,               -9.77, dBm,
           255000000,Hz,               -9.91, dBm,
           257500000,Hz,              -10.00, dBm,
           260000000,Hz,              -10.13, dBm,
           262500000,Hz,              -10.23, dBm,
           265000000,Hz,              -10.35, dBm,
           267500000,Hz,              -10.45, dBm,
           270000000,Hz,              -10.52, dBm,
           272500000,Hz,              -10.58, dBm,
           275000000,Hz,              -10.72, dBm,
           277500000,Hz,              -10.78, dBm,
           280000000,Hz,              -10.83, dBm,
           282500000,Hz,              -10.90, dBm,
           285000000,Hz,              -10.94, dBm,
           287500000,Hz,              -11.02, dBm,
           290000000,Hz,              -11.08, dBm,
           292500000,Hz,              -11.10, dBm,
           295000000,Hz,              -11.10, dBm,
           297500000,Hz,              -11.07, dBm,
           300000000,Hz,              -11.10, dBm,
           302500000,Hz,              -11.17, dBm,
           305000000,Hz,              -11.17, dBm,
           307500000,Hz,              -11.20, dBm,
           310000000,Hz,              -11.22, dBm,
           312500000,Hz,              -11.27, dBm,
           315000000,Hz,              -11.29, dBm,
           317500000,Hz,              -11.32, dBm,
           320000000,Hz,              -11.37, dBm,
           322500000,Hz,              -11.40, dBm,
           325000000,Hz,              -11.45, dBm,
           327500000,Hz,              -11.54, dBm,
           330000000,Hz,              -11.61, dBm,
           332500000,Hz,              -11.73, dBm,
           335000000,Hz,              -11.82, dBm,
           337500000,Hz,              -11.86, dBm,
           340000000,Hz,              -11.91, dBm,
           342500000,Hz,              -11.92, dBm,
           345000000,Hz,              -11.94, dBm,
           347500000,Hz,              -12.01, dBm,
           350000000,Hz,              -12.08, dBm,
           352500000,Hz,              -12.13, dBm,
           355000000,Hz,              -12.17, dBm,
           357500000,Hz,              -12.21, dBm,
           360000000,Hz,              -12.28, dBm,
           362500000,Hz,              -12.29, dBm,
           365000000,Hz,              -12.27, dBm,
           367500000,Hz,              -12.21, dBm,
           370000000,Hz,              -12.16, dBm,
           372500000,Hz,              -12.17, dBm,
           375000000,Hz,              -12.25, dBm,
           377500000,Hz,              -12.36, dBm,
           380000000,Hz,              -12.50, dBm,
           382500000,Hz,              -12.57, dBm,
           385000000,Hz,              -12.66, dBm,
           387500000,Hz,              -12.73, dBm,
           390000000,Hz,              -12.77, dBm,
           392500000,Hz,              -12.91, dBm,
           395000000,Hz,              -12.99, dBm,
           397500000,Hz,              -13.08, dBm,
           400000000,Hz,              -13.14, dBm,
           402500000,Hz,              -13.24, dBm,
           405000000,Hz,              -13.31, dBm,
           407500000,Hz,              -13.37, dBm,
           410000000,Hz,              -13.52, dBm,
           412500000,Hz,              -13.71, dBm,
           415000000,Hz,              -13.77, dBm,
           417500000,Hz,              -13.74, dBm,
           420000000,Hz,              -13.67, dBm,
           422500000,Hz,              -13.65, dBm,
           425000000,Hz,              -13.66, dBm,
           427500000,Hz,              -13.66, dBm,
           430000000,Hz,              -13.72, dBm,
           432500000,Hz,              -13.79, dBm,
           435000000,Hz,              -13.84, dBm,
           437500000,Hz,              -13.83, dBm,
           440000000,Hz,              -13.81, dBm,
           442500000,Hz,              -13.81, dBm,
           445000000,Hz,              -13.81, dBm,
           447500000,Hz,              -13.86, dBm,
           450000000,Hz,              -13.96, dBm,
           452500000,Hz,              -14.27, dBm,
           455000000,Hz,              -14.33, dBm,
           457500000,Hz,              -14.44, dBm,
           460000000,Hz,              -14.46, dBm,
           462500000,Hz,              -14.45, dBm,
           465000000,Hz,              -14.49, dBm,
           467500000,Hz,              -14.51, dBm,
           470000000,Hz,              -14.61, dBm,
           472500000,Hz,              -14.68, dBm,
           475000000,Hz,              -14.76, dBm,
           477500000,Hz,              -14.92, dBm,
           480000000,Hz,              -14.99, dBm,
           482500000,Hz,              -15.03, dBm,
           485000000,Hz,              -15.15, dBm,
           487500000,Hz,              -15.19, dBm,
           490000000,Hz,              -15.12, dBm,
           492500000,Hz,              -15.01, dBm,
           495000000,Hz,              -14.88, dBm,
           497500000,Hz,              -14.65, dBm,
           500000000,Hz,              -14.80, dBm,
           502500000,Hz,              -14.73, dBm,
           505000000,Hz,              -14.71, dBm,
           507500000,Hz,              -14.65, dBm,
           510000000,Hz,              -14.53, dBm,
           512500000,Hz,              -14.50, dBm,
           515000000,Hz,              -14.45, dBm,
           517500000,Hz,              -14.43, dBm,
           520000000,Hz,              -14.43, dBm,
           522500000,Hz,              -14.44, dBm,
           525000000,Hz,              -14.47, dBm,
           527500000,Hz,              -14.54, dBm,
           530000000,Hz,              -14.56, dBm,
           532500000,Hz,              -14.62, dBm,
           535000000,Hz,              -14.65, dBm,
           537500000,Hz,              -14.66, dBm,
           540000000,Hz,              -14.67, dBm,
           542500000,Hz,              -14.66, dBm,
           545000000,Hz,              -14.62, dBm,
           547500000,Hz,              -14.62, dBm,
           550000000,Hz,              -14.60, dBm,
           552500000,Hz,              -14.55, dBm,
           555000000,Hz,              -14.45, dBm,
