Trace1,
Freq,,Amp,,
                   0,Hz,               -5.11, dBm,
             2500000,Hz,               -1.39, dBm,
             5000000,Hz,                3.45, dBm,
             7500000,Hz,               -7.07, dBm,
            10000000,Hz,               -7.87, dBm,
            12500000,Hz,               -8.87, dBm,
            15000000,Hz,               -8.89, dBm,
            17500000,Hz,              -10.15, dBm,
            20000000,Hz,              -10.66, dBm,
            22500000,Hz,              -11.09, dBm,
            25000000,Hz,              -11.61, dBm,
            27500000,Hz,              -12.06, dBm,
            30000000,Hz,              -12.48, dBm,
            32500000,Hz,              -12.88, dBm,
            35000000,Hz,              -13.27, dBm,
            37500000,Hz,              -13.64, dBm,
            40000000,Hz,              -13.91, dBm,
            42500000,Hz,              -14.42, dBm,
            45000000,Hz,              -14.52, dBm,
            47500000,Hz,              -14.83, dBm,
            50000000,Hz,              -15.18, dBm,
            52500000,Hz,              -15.54, dBm,
            55000000,Hz,              -15.85, dBm,
            57500000,Hz,              -16.19, dBm,
            60000000,Hz,              -16.39, dBm,
            62500000,Hz,              -16.75, dBm,
            65000000,Hz,              -16.85, dBm,
            67500000,Hz,              -17.09, dBm,
            70000000,Hz,              -17.48, dBm,
            72500000,Hz,              -17.68, dBm,
            75000000,Hz,              -17.79, dBm,
            77500000,Hz,              -18.05, dBm,
            80000000,Hz,              -18.26, dBm,
            82500000,Hz,              -18.52, dBm,
            85000000,Hz,              -18.61, dBm,
            87500000,Hz,              -18.83, dBm,
            90000000,Hz,              -19.02, dBm,
            92500000,Hz,              -19.12, dBm,
            95000000,Hz,              -19.42, dBm,
            97500000,Hz,              -19.67, dBm,
           100000000,Hz,              -19.81, dBm,
           102500000,Hz,              -20.04, dBm,
           105000000,Hz,              -20.26, dBm,
           107500000,Hz,              -20.38, dBm,
           110000000,Hz,              -20.50, dBm,
           112500000,Hz,              -20.68, dBm,
           115000000,Hz,              -20.79, dBm,
           117500000,Hz,              -20.96, dBm,
           120000000,Hz,              -21.08, dBm,
           122500000,Hz,              -21.21, dBm,
           125000000,Hz,              -21.32, dBm,
           127500000,Hz,              -21.38, dBm,
           130000000,Hz,              -21.48, dBm,
           132500000,Hz,              -21.55, dBm,
           135000000,Hz,              -21.68, dBm,
           137500000,Hz,              -21.85, dBm,
           140000000,Hz,              -22.06, dBm,
           142500000,Hz,              -22.20, dBm,
           145000000,Hz,              -22.24, dBm,
           147500000,Hz,              -22.42, dBm,
           150000000,Hz,              -22.61, dBm,
           152500000,Hz,              -22.60, dBm,
           155000000,Hz,              -22.79, dBm,
           157500000,Hz,              -22.83, dBm,
           160000000,Hz,              -22.87, dBm,
           162500000,Hz,              -22.96, dBm,
           165000000,Hz,              -23.08, dBm,
           167500000,Hz,              -23.21, dBm,
           170000000,Hz,              -23.33, dBm,
           172500000,Hz,              -23.43, dBm,
           175000000,Hz,              -23.53, dBm,
           177500000,Hz,              -23.65, dBm,
           180000000,Hz,              -23.79, dBm,
           182500000,Hz,              -23.87, dBm,
           185000000,Hz,              -23.95, dBm,
           187500000,Hz,              -24.10, dBm,
           190000000,Hz,              -24.31, dBm,
           192500000,Hz,              -24.43, dBm,
           195000000,Hz,              -24.59, dBm,
           197500000,Hz,              -24.78, dBm,
           200000000,Hz,              -24.87, dBm,
           202500000,Hz,              -24.99, dBm,
           205000000,Hz,              -25.12, dBm,
           207500000,Hz,              -25.07, dBm,
           210000000,Hz,              -25.18, dBm,
           212500000,Hz,              -25.22, dBm,
           215000000,Hz,              -25.39, dBm,
           217500000,Hz,              -25.52, dBm,
           220000000,Hz,              -25.46, dBm,
           222500000,Hz,              -25.68, dBm,
           225000000,Hz,              -25.63, dBm,
           227500000,Hz,              -25.71, dBm,
           230000000,Hz,              -25.78, dBm,
           232500000,Hz,              -25.97, dBm,
           235000000,Hz,              -26.06, dBm,
           237500000,Hz,              -26.34, dBm,
           240000000,Hz,              -26.32, dBm,
           242500000,Hz,              -26.42, dBm,
           245000000,Hz,              -26.49, dBm,
           247500000,Hz,              -26.59, dBm,
           250000000,Hz,              -26.67, dBm,
           252500000,Hz,              -26.74, dBm,
           255000000,Hz,              -26.83, dBm,
           257500000,Hz,              -26.93, dBm,
           260000000,Hz,              -27.14, dBm,
           262500000,Hz,              -27.27, dBm,
           265000000,Hz,              -27.42, dBm,
           267500000,Hz,              -27.40, dBm,
           270000000,Hz,              -27.47, dBm,
           272500000,Hz,              -27.54, dBm,
           275000000,Hz,              -27.62, dBm,
           277500000,Hz,              -27.85, dBm,
           280000000,Hz,              -28.12, dBm,
           282500000,Hz,              -28.39, dBm,
           285000000,Hz,              -28.53, dBm,
           287500000,Hz,              -28.83, dBm,
           290000000,Hz,              -28.79, dBm,
           292500000,Hz,              -28.89, dBm,
           295000000,Hz,              -28.79, dBm,
           297500000,Hz,              -28.72, dBm,
           300000000,Hz,              -28.71, dBm,
           302500000,Hz,              -28.86, dBm,
           305000000,Hz,              -28.82, dBm,
           307500000,Hz,              -29.00, dBm,
           310000000,Hz,              -28.89, dBm,
           312500000,Hz,              -29.07, dBm,
           315000000,Hz,              -28.96, dBm,
           317500000,Hz,              -29.06, dBm,
           320000000,Hz,              -29.15, dBm,
           322500000,Hz,              -29.15, dBm,
