Trace1,
Freq,,Amp,,
           495012563,Hz,              -56.11, dBm,
           496687521,Hz,              -56.37, dBm,
           498362479,Hz,              -26.49, dBm,
           500037437,Hz,              -26.54, dBm,
           501712395,Hz,              -26.47, dBm,
           503387353,Hz,              -26.46, dBm,
           505062311,Hz,              -26.72, dBm,
           506737269,Hz,              -26.86, dBm,
           508412227,Hz,              -27.03, dBm,
           510087185,Hz,              -27.02, dBm,
           511762143,Hz,              -27.12, dBm,
           513437101,Hz,              -27.21, dBm,
           515112059,Hz,              -27.25, dBm,
           516787017,Hz,              -27.21, dBm,
           518461975,Hz,              -27.25, dBm,
           520136933,Hz,              -27.23, dBm,
           521811891,Hz,              -27.35, dBm,
           523486849,Hz,              -27.19, dBm,
           525161807,Hz,              -27.32, dBm,
           526836765,Hz,              -27.34, dBm,
           528511723,Hz,              -27.33, dBm,
           530186681,Hz,              -27.30, dBm,
           531861639,Hz,              -27.38, dBm,
           533536597,Hz,              -27.33, dBm,
           535211555,Hz,              -27.24, dBm,
           536886513,Hz,              -27.28, dBm,
           538561471,Hz,              -27.33, dBm,
           540236429,Hz,              -27.35, dBm,
           541911387,Hz,              -27.42, dBm,
           543586345,Hz,              -27.37, dBm,
           545261303,Hz,              -27.31, dBm,
           546936261,Hz,              -27.38, dBm,
           548611219,Hz,              -27.40, dBm,
           550286177,Hz,              -27.37, dBm,
           551961135,Hz,              -27.40, dBm,
           553636093,Hz,              -27.32, dBm,
           555311051,Hz,              -27.31, dBm,
           556986009,Hz,              -27.36, dBm,
           558660967,Hz,              -27.36, dBm,
           560335925,Hz,              -27.33, dBm,
           562010883,Hz,              -27.41, dBm,
           563685841,Hz,              -27.45, dBm,
           565360799,Hz,              -27.36, dBm,
           567035757,Hz,              -27.31, dBm,
           568710715,Hz,              -27.38, dBm,
           570385673,Hz,              -27.30, dBm,
           572060631,Hz,              -27.41, dBm,
           573735589,Hz,              -27.34, dBm,
           575410547,Hz,              -27.36, dBm,
           577085505,Hz,              -27.39, dBm,
           578760463,Hz,              -27.39, dBm,
           580435421,Hz,              -27.38, dBm,
           582110379,Hz,              -27.34, dBm,
           583785337,Hz,              -27.38, dBm,
           585460295,Hz,              -27.30, dBm,
           587135253,Hz,              -27.36, dBm,
           588810211,Hz,              -27.25, dBm,
           590485169,Hz,              -27.30, dBm,
           592160127,Hz,              -27.19, dBm,
           593835085,Hz,              -27.26, dBm,
           595510043,Hz,              -27.24, dBm,
           597185001,Hz,              -27.27, dBm,
           598859959,Hz,              -27.16, dBm,
           600534917,Hz,              -27.14, dBm,
           602209875,Hz,              -27.16, dBm,
           603884833,Hz,              -27.09, dBm,
           605559791,Hz,              -27.05, dBm,
           607234749,Hz,              -27.10, dBm,
           608909707,Hz,              -26.97, dBm,
           610584665,Hz,              -26.94, dBm,
           612259623,Hz,              -27.02, dBm,
           613934581,Hz,              -26.94, dBm,
