Trace1,
Freq,,Amp,,
           500000000,Hz,              -22.83, dBm,
           501666666,Hz,              -22.81, dBm,
           503333332,Hz,              -22.76, dBm,
           504999998,Hz,              -22.72, dBm,
           506666664,Hz,              -22.68, dBm,
           508333330,Hz,              -22.61, dBm,
           509999996,Hz,              -22.60, dBm,
           511666662,Hz,              -22.52, dBm,
           513333328,Hz,              -22.53, dBm,
           514999994,Hz,              -22.48, dBm,
           516666660,Hz,              -22.43, dBm,
           518333326,Hz,              -22.44, dBm,
           519999992,Hz,              -22.36, dBm,
           521666658,Hz,              -22.32, dBm,
           523333324,Hz,              -22.33, dBm,
           524999990,Hz,              -22.28, dBm,
           526666656,Hz,              -22.24, dBm,
           528333322,Hz,              -22.18, dBm,
           529999988,Hz,              -22.16, dBm,
           531666654,Hz,              -22.12, dBm,
           533333320,Hz,              -22.10, dBm,
           534999986,Hz,              -22.02, dBm,
           536666652,Hz,              -22.02, dBm,
           538333318,Hz,              -21.93, dBm,
           539999984,Hz,              -21.91, dBm,
           541666650,Hz,              -21.81, dBm,
           543333316,Hz,              -21.82, dBm,
           544999982,Hz,              -21.77, dBm,
           546666648,Hz,              -21.67, dBm,
           548333314,Hz,              -21.67, dBm,
           549999980,Hz,              -21.65, dBm,
           551666646,Hz,              -21.61, dBm,
           553333312,Hz,              -21.57, dBm,
           554999978,Hz,              -21.55, dBm,
           556666644,Hz,              -21.50, dBm,
           558333310,Hz,              -21.46, dBm,
           559999976,Hz,              -21.41, dBm,
           561666642,Hz,              -21.40, dBm,
           563333308,Hz,              -21.38, dBm,
           564999974,Hz,              -21.33, dBm,
           566666640,Hz,              -21.27, dBm,
           568333306,Hz,              -21.22, dBm,
           569999972,Hz,              -21.19, dBm,
           571666638,Hz,              -21.16, dBm,
           573333304,Hz,              -21.08, dBm,
           574999970,Hz,              -21.08, dBm,
           576666636,Hz,              -21.02, dBm,
           578333302,Hz,              -21.02, dBm,
           579999968,Hz,              -20.93, dBm,
           581666634,Hz,              -20.90, dBm,
           583333300,Hz,              -20.86, dBm,
           584999966,Hz,              -20.83, dBm,
           586666632,Hz,              -20.76, dBm,
           588333298,Hz,              -20.73, dBm,
           589999964,Hz,              -20.64, dBm,
           591666630,Hz,              -20.62, dBm,
           593333296,Hz,              -20.56, dBm,
           594999962,Hz,              -20.48, dBm,
           596666628,Hz,              -20.50, dBm,
           598333294,Hz,              -20.42, dBm,
           599999960,Hz,              -20.42, dBm,
           601666626,Hz,              -20.34, dBm,
           603333292,Hz,              -20.27, dBm,
           604999958,Hz,              -20.25, dBm,
           606666624,Hz,              -20.22, dBm,
           608333290,Hz,              -20.19, dBm,
           609999956,Hz,              -20.13, dBm,
           611666622,Hz,              -20.10, dBm,
           613333288,Hz,              -20.08, dBm,
           614999954,Hz,              -20.05, dBm,
           616666620,Hz,              -20.02, dBm,
           618333286,Hz,              -20.00, dBm,
           619999952,Hz,              -19.99, dBm,
           621666618,Hz,              -19.97, dBm,
           623333284,Hz,              -19.91, dBm,
           624999950,Hz,              -19.94, dBm,
           626666616,Hz,              -19.96, dBm,
           628333282,Hz,              -19.92, dBm,
           629999948,Hz,              -19.90, dBm,
           631666614,Hz,              -19.92, dBm,
           633333280,Hz,              -19.91, dBm,
           634999946,Hz,              -19.91, dBm,
           636666612,Hz,              -19.96, dBm,
           638333278,Hz,              -19.93, dBm,
           639999944,Hz,              -19.95, dBm,
           641666610,Hz,              -19.91, dBm,
           643333276,Hz,              -19.92, dBm,
           644999942,Hz,              -19.88, dBm,
           646666608,Hz,              -19.93, dBm,
           648333274,Hz,              -19.90, dBm,
           649999940,Hz,              -19.89, dBm,
           651666606,Hz,              -19.91, dBm,
           653333272,Hz,              -19.86, dBm,
           654999938,Hz,              -19.87, dBm,
           656666604,Hz,              -19.84, dBm,
           658333270,Hz,              -19.82, dBm,
           659999936,Hz,              -19.86, dBm,
           661666602,Hz,              -19.79, dBm,
           663333268,Hz,              -19.74, dBm,
           664999934,Hz,              -19.73, dBm,
           666666600,Hz,              -19.71, dBm,
           668333266,Hz,              -19.65, dBm,
           669999932,Hz,              -19.63, dBm,
           671666598,Hz,              -19.58, dBm,
           673333264,Hz,              -19.55, dBm,
           674999930,Hz,              -19.53, dBm,
           676666596,Hz,              -19.50, dBm,
           678333262,Hz,              -19.46, dBm,
           679999928,Hz,              -19.46, dBm,
           681666594,Hz,              -19.43, dBm,
           683333260,Hz,              -19.41, dBm,
           684999926,Hz,              -19.43, dBm,
           686666592,Hz,              -19.41, dBm,
           688333258,Hz,              -19.38, dBm,
           689999924,Hz,              -19.35, dBm,
           691666590,Hz,              -19.38, dBm,
           693333256,Hz,              -19.36, dBm,
           694999922,Hz,              -19.36, dBm,
           696666588,Hz,              -19.36, dBm,
           698333254,Hz,              -19.37, dBm,
           699999920,Hz,              -19.36, dBm,
           701666586,Hz,              -19.37, dBm,
           703333252,Hz,              -19.33, dBm,
           704999918,Hz,              -19.35, dBm,
           706666584,Hz,              -19.38, dBm,
           708333250,Hz,              -19.40, dBm,
           709999916,Hz,              -19.42, dBm,
           711666582,Hz,              -19.44, dBm,
           713333248,Hz,              -19.44, dBm,
           714999914,Hz,              -19.47, dBm,
           716666580,Hz,              -19.47, dBm,
           718333246,Hz,              -19.46, dBm,
           719999912,Hz,              -19.47, dBm,
           721666578,Hz,              -19.46, dBm,
           723333244,Hz,              -19.50, dBm,
           724999910,Hz,              -19.50, dBm,
           726666576,Hz,              -19.51, dBm,
           728333242,Hz,              -19.51, dBm,
           729999908,Hz,              -19.51, dBm,
           731666574,Hz,              -19.52, dBm,
           733333240,Hz,              -19.50, dBm,
           734999906,Hz,              -19.51, dBm,
           736666572,Hz,              -19.52, dBm,
           738333238,Hz,              -19.48, dBm,
           739999904,Hz,              -19.46, dBm,
           741666570,Hz,              -19.43, dBm,
           743333236,Hz,              -19.42, dBm,
           744999902,Hz,              -19.41, dBm,
           746666568,Hz,              -19.41, dBm,
           748333234,Hz,              -19.41, dBm,
           749999900,Hz,              -19.39, dBm,
           751666566,Hz,              -19.39, dBm,
           753333232,Hz,              -19.38, dBm,
           754999898,Hz,              -19.35, dBm,
           756666564,Hz,              -19.37, dBm,
           758333230,Hz,              -19.36, dBm,
           759999896,Hz,              -19.31, dBm,
           761666562,Hz,              -19.32, dBm,
           763333228,Hz,              -19.34, dBm,
           764999894,Hz,              -19.32, dBm,
           766666560,Hz,              -19.35, dBm,
           768333226,Hz,              -19.33, dBm,
           769999892,Hz,              -19.35, dBm,
           771666558,Hz,              -19.33, dBm,
           773333224,Hz,              -19.34, dBm,
           774999890,Hz,              -19.33, dBm,
           776666556,Hz,              -19.34, dBm,
           778333222,Hz,              -19.38, dBm,
           779999888,Hz,              -19.38, dBm,
           781666554,Hz,              -19.37, dBm,
           783333220,Hz,              -19.37, dBm,
           784999886,Hz,              -19.37, dBm,
           786666552,Hz,              -19.41, dBm,
           788333218,Hz,              -19.42, dBm,
           789999884,Hz,              -19.44, dBm,
           791666550,Hz,              -19.48, dBm,
           793333216,Hz,              -19.46, dBm,
           794999882,Hz,              -19.51, dBm,
           796666548,Hz,              -19.50, dBm,
           798333214,Hz,              -19.56, dBm,
           799999880,Hz,              -19.55, dBm,
           801666546,Hz,              -19.57, dBm,
           803333212,Hz,              -19.59, dBm,
           804999878,Hz,              -19.58, dBm,
           806666544,Hz,              -19.59, dBm,
           808333210,Hz,              -19.61, dBm,
           809999876,Hz,              -19.62, dBm,
           811666542,Hz,              -19.65, dBm,
           813333208,Hz,              -19.64, dBm,
           814999874,Hz,              -19.68, dBm,
           816666540,Hz,              -19.66, dBm,
           818333206,Hz,              -19.69, dBm,
           819999872,Hz,              -19.68, dBm,
           821666538,Hz,              -19.67, dBm,
           823333204,Hz,              -19.66, dBm,
           824999870,Hz,              -19.66, dBm,
           826666536,Hz,              -19.65, dBm,
           828333202,Hz,              -19.64, dBm,
           829999868,Hz,              -19.63, dBm,
           831666534,Hz,              -19.59, dBm,
           833333200,Hz,              -19.59, dBm,
           834999866,Hz,              -19.55, dBm,
           836666532,Hz,              -19.52, dBm,
           838333198,Hz,              -19.51, dBm,
           839999864,Hz,              -19.47, dBm,
           841666530,Hz,              -19.45, dBm,
           843333196,Hz,              -19.43, dBm,
           844999862,Hz,              -19.41, dBm,
           846666528,Hz,              -19.38, dBm,
           848333194,Hz,              -19.36, dBm,
           849999860,Hz,              -19.38, dBm,
           851666526,Hz,              -19.35, dBm,
           853333192,Hz,              -19.35, dBm,
           854999858,Hz,              -19.34, dBm,
           856666524,Hz,              -19.33, dBm,
           858333190,Hz,              -19.32, dBm,
           859999856,Hz,              -19.35, dBm,
           861666522,Hz,              -19.37, dBm,
           863333188,Hz,              -19.42, dBm,
           864999854,Hz,              -19.44, dBm,
           866666520,Hz,              -19.51, dBm,
           868333186,Hz,              -19.62, dBm,
           869999852,Hz,              -19.64, dBm,
           871666518,Hz,              -19.74, dBm,
           873333184,Hz,              -19.78, dBm,
           874999850,Hz,              -19.83, dBm,
           876666516,Hz,              -19.87, dBm,
           878333182,Hz,              -20.00, dBm,
           879999848,Hz,              -19.99, dBm,
           881666514,Hz,              -20.06, dBm,
           883333180,Hz,              -20.09, dBm,
           884999846,Hz,              -20.13, dBm,
           886666512,Hz,              -20.12, dBm,
           888333178,Hz,              -20.20, dBm,
           889999844,Hz,              -20.19, dBm,
           891666510,Hz,              -20.21, dBm,
           893333176,Hz,              -20.29, dBm,
           894999842,Hz,              -20.20, dBm,
           896666508,Hz,              -20.25, dBm,
           898333174,Hz,              -20.25, dBm,
           899999840,Hz,              -20.23, dBm,
           901666506,Hz,              -20.22, dBm,
           903333172,Hz,              -20.18, dBm,
           904999838,Hz,              -20.17, dBm,
           906666504,Hz,              -20.12, dBm,
           908333170,Hz,              -20.11, dBm,
           909999836,Hz,              -20.06, dBm,
           911666502,Hz,              -20.05, dBm,
           913333168,Hz,              -19.99, dBm,
           914999834,Hz,              -19.93, dBm,
           916666500,Hz,              -19.94, dBm,
           918333166,Hz,              -19.91, dBm,
           919999832,Hz,              -19.82, dBm,
           921666498,Hz,              -19.82, dBm,
           923333164,Hz,              -19.75, dBm,
           924999830,Hz,              -19.70, dBm,
           926666496,Hz,              -19.65, dBm,
           928333162,Hz,              -19.63, dBm,
           929999828,Hz,              -19.64, dBm,
           931666494,Hz,              -19.69, dBm,
           933333160,Hz,              -19.80, dBm,
           934999826,Hz,              -19.89, dBm,
           936666492,Hz,              -19.99, dBm,
           938333158,Hz,              -20.12, dBm,
           939999824,Hz,              -20.25, dBm,
           941666490,Hz,              -20.36, dBm,
           943333156,Hz,              -20.50, dBm,
           944999822,Hz,              -20.67, dBm,
           946666488,Hz,              -20.90, dBm,
           948333154,Hz,              -21.05, dBm,
           949999820,Hz,              -21.20, dBm,
           951666486,Hz,              -21.41, dBm,
           953333152,Hz,              -21.51, dBm,
           954999818,Hz,              -21.65, dBm,
           956666484,Hz,              -21.80, dBm,
           958333150,Hz,              -21.89, dBm,
           959999816,Hz,              -22.02, dBm,
           961666482,Hz,              -22.17, dBm,
           963333148,Hz,              -22.28, dBm,
           964999814,Hz,              -22.32, dBm,
           966666480,Hz,              -22.50, dBm,
           968333146,Hz,              -22.58, dBm,
           969999812,Hz,              -22.67, dBm,
           971666478,Hz,              -22.75, dBm,
           973333144,Hz,              -22.82, dBm,
           974999810,Hz,              -22.88, dBm,
           976666476,Hz,              -22.96, dBm,
           978333142,Hz,              -23.02, dBm,
           979999808,Hz,              -23.05, dBm,
           981666474,Hz,              -23.09, dBm,
           983333140,Hz,              -23.14, dBm,
           984999806,Hz,              -23.16, dBm,
           986666472,Hz,              -23.15, dBm,
           988333138,Hz,              -23.21, dBm,
           989999804,Hz,              -23.16, dBm,
           991666470,Hz,              -23.15, dBm,
           993333136,Hz,              -23.17, dBm,
           994999802,Hz,              -23.16, dBm,
           996666468,Hz,              -23.17, dBm,
           998333134,Hz,              -23.09, dBm,
           999999800,Hz,              -23.18, dBm,
          1001666466,Hz,              -23.17, dBm,
