Trace2,
Freq,,Amp,,
                   0,Hz,              -15.81, dBm,
             2500000,Hz,              -56.27, dBm,
             5000000,Hz,              -57.48, dBm,
             7500000,Hz,              -58.24, dBm,
            10000000,Hz,              -59.04, dBm,
            12500000,Hz,              -59.20, dBm,
            15000000,Hz,              -58.94, dBm,
            17500000,Hz,              -59.86, dBm,
            20000000,Hz,              -60.26, dBm,
            22500000,Hz,              -59.72, dBm,
            25000000,Hz,              -59.22, dBm,
            27500000,Hz,              -60.50, dBm,
            30000000,Hz,              -59.76, dBm,
            32500000,Hz,              -60.69, dBm,
            35000000,Hz,              -60.02, dBm,
            37500000,Hz,              -60.26, dBm,
            40000000,Hz,              -60.09, dBm,
            42500000,Hz,              -60.31, dBm,
            45000000,Hz,              -60.25, dBm,
            47500000,Hz,              -60.54, dBm,
            50000000,Hz,              -60.75, dBm,
            52500000,Hz,              -59.62, dBm,
            55000000,Hz,              -60.64, dBm,
            57500000,Hz,              -60.38, dBm,
            60000000,Hz,              -59.65, dBm,
            62500000,Hz,              -60.82, dBm,
            65000000,Hz,              -60.32, dBm,
            67500000,Hz,              -59.94, dBm,
            70000000,Hz,              -60.54, dBm,
            72500000,Hz,              -60.60, dBm,
            75000000,Hz,              -60.07, dBm,
            77500000,Hz,              -60.13, dBm,
            80000000,Hz,              -59.80, dBm,
            82500000,Hz,              -60.27, dBm,
            85000000,Hz,              -60.24, dBm,
            87500000,Hz,              -60.29, dBm,
            90000000,Hz,              -59.90, dBm,
            92500000,Hz,              -59.94, dBm,
            95000000,Hz,              -60.18, dBm,
            97500000,Hz,              -60.27, dBm,
           100000000,Hz,              -38.61, dBm,
           102500000,Hz,              -38.74, dBm,
           105000000,Hz,              -38.61, dBm,
           107500000,Hz,              -38.51, dBm,
           110000000,Hz,              -38.35, dBm,
           112500000,Hz,              -38.48, dBm,
           115000000,Hz,              -38.35, dBm,
           117500000,Hz,              -38.08, dBm,
           120000000,Hz,              -37.97, dBm,
           122500000,Hz,              -37.86, dBm,
           125000000,Hz,              -37.69, dBm,
           127500000,Hz,              -37.61, dBm,
           130000000,Hz,              -37.39, dBm,
           132500000,Hz,              -37.32, dBm,
           135000000,Hz,              -36.93, dBm,
           137500000,Hz,              -36.79, dBm,
           140000000,Hz,              -36.58, dBm,
           142500000,Hz,              -36.43, dBm,
           145000000,Hz,              -36.50, dBm,
           147500000,Hz,              -35.96, dBm,
           150000000,Hz,              -36.08, dBm,
           152500000,Hz,              -35.90, dBm,
           155000000,Hz,              -35.72, dBm,
           157500000,Hz,              -35.74, dBm,
           160000000,Hz,              -35.51, dBm,
           162500000,Hz,              -35.27, dBm,
           165000000,Hz,              -35.35, dBm,
           167500000,Hz,              -34.99, dBm,
           170000000,Hz,              -35.17, dBm,
           172500000,Hz,              -34.95, dBm,
           175000000,Hz,              -35.03, dBm,
           177500000,Hz,              -34.90, dBm,
           180000000,Hz,              -34.89, dBm,
           182500000,Hz,              -34.84, dBm,
           185000000,Hz,              -34.67, dBm,
           187500000,Hz,              -34.46, dBm,
           190000000,Hz,              -34.44, dBm,
           192500000,Hz,              -34.45, dBm,
           195000000,Hz,              -34.37, dBm,
           197500000,Hz,              -34.28, dBm,
           200000000,Hz,              -34.24, dBm,
           202500000,Hz,              -34.21, dBm,
           205000000,Hz,              -34.02, dBm,
           207500000,Hz,              -33.98, dBm,
           210000000,Hz,              -34.02, dBm,
           212500000,Hz,              -34.11, dBm,
           215000000,Hz,              -33.85, dBm,
           217500000,Hz,              -34.05, dBm,
           220000000,Hz,              -33.89, dBm,
           222500000,Hz,              -33.82, dBm,
           225000000,Hz,              -33.92, dBm,
           227500000,Hz,              -33.86, dBm,
           230000000,Hz,              -33.84, dBm,
           232500000,Hz,              -33.95, dBm,
           235000000,Hz,              -33.75, dBm,
           237500000,Hz,              -33.61, dBm,
           240000000,Hz,              -33.69, dBm,
           242500000,Hz,              -33.83, dBm,
           245000000,Hz,              -33.67, dBm,
           247500000,Hz,              -33.58, dBm,
           250000000,Hz,              -33.55, dBm,
           252500000,Hz,              -33.71, dBm,
           255000000,Hz,              -33.33, dBm,
           257500000,Hz,              -33.44, dBm,
           260000000,Hz,              -33.41, dBm,
           262500000,Hz,              -33.25, dBm,
           265000000,Hz,              -33.21, dBm,
           267500000,Hz,              -33.22, dBm,
           270000000,Hz,              -33.10, dBm,
           272500000,Hz,              -32.98, dBm,
           275000000,Hz,              -32.86, dBm,
           277500000,Hz,              -32.85, dBm,
           280000000,Hz,              -32.76, dBm,
           282500000,Hz,              -32.61, dBm,
           285000000,Hz,              -32.68, dBm,
