Trace1,
Freq,,Amp,,
           495012563,Hz,              -30.56, dBm,
           496687521,Hz,              -30.56, dBm,
           498362479,Hz,              -30.51, dBm,
           500037437,Hz,              -30.43, dBm,
           501712395,Hz,              -30.37, dBm,
           503387353,Hz,              -30.34, dBm,
           505062311,Hz,              -30.66, dBm,
           506737269,Hz,              -30.80, dBm,
           508412227,Hz,              -30.83, dBm,
           510087185,Hz,              -30.75, dBm,
           511762143,Hz,              -30.89, dBm,
           513437101,Hz,              -30.91, dBm,
           515112059,Hz,              -30.86, dBm,
           516787017,Hz,              -30.80, dBm,
           518461975,Hz,              -30.83, dBm,
           520136933,Hz,              -30.79, dBm,
           521811891,Hz,              -30.77, dBm,
           523486849,Hz,              -30.71, dBm,
           525161807,Hz,              -30.77, dBm,
           526836765,Hz,              -30.63, dBm,
           528511723,Hz,              -30.65, dBm,
           530186681,Hz,              -30.64, dBm,
           531861639,Hz,              -30.51, dBm,
           533536597,Hz,              -30.53, dBm,
           535211555,Hz,              -30.45, dBm,
           536886513,Hz,              -30.41, dBm,
           538561471,Hz,              -30.37, dBm,
           540236429,Hz,              -30.38, dBm,
           541911387,Hz,              -30.37, dBm,
           543586345,Hz,              -30.26, dBm,
           545261303,Hz,              -30.33, dBm,
           546936261,Hz,              -30.27, dBm,
           548611219,Hz,              -30.22, dBm,
           550286177,Hz,              -30.23, dBm,
           551961135,Hz,              -30.16, dBm,
           553636093,Hz,              -30.22, dBm,
           555311051,Hz,              -30.20, dBm,
           556986009,Hz,              -30.14, dBm,
           558660967,Hz,              -30.13, dBm,
           560335925,Hz,              -30.18, dBm,
           562010883,Hz,              -30.15, dBm,
           563685841,Hz,              -30.13, dBm,
           565360799,Hz,              -30.19, dBm,
           567035757,Hz,              -30.14, dBm,
           568710715,Hz,              -30.03, dBm,
           570385673,Hz,              -30.16, dBm,
           572060631,Hz,              -30.21, dBm,
           573735589,Hz,              -30.17, dBm,
           575410547,Hz,              -30.16, dBm,
           577085505,Hz,              -30.19, dBm,
           578760463,Hz,              -30.15, dBm,
           580435421,Hz,              -30.14, dBm,
           582110379,Hz,              -30.23, dBm,
           583785337,Hz,              -30.22, dBm,
           585460295,Hz,              -30.27, dBm,
           587135253,Hz,              -30.20, dBm,
           588810211,Hz,              -30.27, dBm,
           590485169,Hz,              -30.21, dBm,
           592160127,Hz,              -30.34, dBm,
           593835085,Hz,              -30.36, dBm,
           595510043,Hz,              -30.26, dBm,
           597185001,Hz,              -30.42, dBm,
           598859959,Hz,              -30.35, dBm,
           600534917,Hz,              -30.50, dBm,
           602209875,Hz,              -30.47, dBm,
           603884833,Hz,              -30.54, dBm,
           605559791,Hz,              -30.54, dBm,
           607234749,Hz,              -30.61, dBm,
           608909707,Hz,              -30.51, dBm,
           610584665,Hz,              -30.65, dBm,
           612259623,Hz,              -30.69, dBm,
           613934581,Hz,              -30.72, dBm,
           615609539,Hz,              -30.71, dBm,
           617284497,Hz,              -30.76, dBm,
           618959455,Hz,              -30.74, dBm,
           620634413,Hz,              -30.89, dBm,
           622309371,Hz,              -30.88, dBm,
           623984329,Hz,              -30.97, dBm,
           625659287,Hz,              -30.99, dBm,
           627334245,Hz,              -31.14, dBm,
           629009203,Hz,              -31.18, dBm,
           630684161,Hz,              -31.17, dBm,
           632359119,Hz,              -31.28, dBm,
           634034077,Hz,              -31.35, dBm,
           635709035,Hz,              -31.39, dBm,
           637383993,Hz,              -31.52, dBm,
           639058951,Hz,              -31.64, dBm,
           640733909,Hz,              -31.63, dBm,
           642408867,Hz,              -31.87, dBm,
           644083825,Hz,              -31.86, dBm,
           645758783,Hz,              -31.98, dBm,
           647433741,Hz,              -32.10, dBm,
           649108699,Hz,              -32.10, dBm,
           650783657,Hz,              -32.43, dBm,
           652458615,Hz,              -32.34, dBm,
           654133573,Hz,              -32.45, dBm,
           655808531,Hz,              -32.51, dBm,
           657483489,Hz,              -32.53, dBm,
           659158447,Hz,              -32.61, dBm,
           660833405,Hz,              -32.72, dBm,
           662508363,Hz,              -32.71, dBm,
           664183321,Hz,              -32.79, dBm,
           665858279,Hz,              -32.78, dBm,
           667533237,Hz,              -32.73, dBm,
           669208195,Hz,              -32.91, dBm,
           670883153,Hz,              -32.85, dBm,
           672558111,Hz,              -32.68, dBm,
           674233069,Hz,              -32.82, dBm,
           675908027,Hz,              -32.89, dBm,
           677582985,Hz,              -32.90, dBm,
           679257943,Hz,              -32.92, dBm,
           680932901,Hz,              -32.93, dBm,
           682607859,Hz,              -32.86, dBm,
           684282817,Hz,              -32.83, dBm,
           685957775,Hz,              -33.00, dBm,
           687632733,Hz,              -32.84, dBm,
           689307691,Hz,              -32.84, dBm,
           690982649,Hz,              -32.96, dBm,
           692657607,Hz,              -32.99, dBm,
           694332565,Hz,              -33.00, dBm,
           696007523,Hz,              -33.08, dBm,
           697682481,Hz,              -33.07, dBm,
           699357439,Hz,              -33.14, dBm,
           701032397,Hz,              -33.13, dBm,
           702707355,Hz,              -33.12, dBm,
           704382313,Hz,              -33.06, dBm,
           706057271,Hz,              -33.17, dBm,
           707732229,Hz,              -33.18, dBm,
           709407187,Hz,              -33.22, dBm,
           711082145,Hz,              -33.13, dBm,
           712757103,Hz,              -33.17, dBm,
           714432061,Hz,              -33.03, dBm,
           716107019,Hz,              -33.08, dBm,
           717781977,Hz,              -33.07, dBm,
           719456935,Hz,              -32.96, dBm,
           721131893,Hz,              -32.99, dBm,
           722806851,Hz,              -32.88, dBm,
           724481809,Hz,              -32.86, dBm,
           726156767,Hz,              -32.78, dBm,
           727831725,Hz,              -32.61, dBm,
           729506683,Hz,              -32.61, dBm,
           731181641,Hz,              -32.54, dBm,
           732856599,Hz,              -32.39, dBm,
           734531557,Hz,              -32.28, dBm,
           736206515,Hz,              -32.06, dBm,
           737881473,Hz,              -32.15, dBm,
           739556431,Hz,              -31.96, dBm,
           741231389,Hz,              -31.82, dBm,
           742906347,Hz,              -31.74, dBm,
           744581305,Hz,              -31.68, dBm,
           746256263,Hz,              -31.59, dBm,
           747931221,Hz,              -31.57, dBm,
           749606179,Hz,              -31.46, dBm,
           751281137,Hz,              -31.36, dBm,
           752956095,Hz,              -31.29, dBm,
           754631053,Hz,              -31.29, dBm,
           756306011,Hz,              -31.16, dBm,
           757980969,Hz,              -31.13, dBm,
           759655927,Hz,              -30.95, dBm,
           761330885,Hz,              -31.02, dBm,
           763005843,Hz,              -30.83, dBm,
           764680801,Hz,              -30.90, dBm,
           766355759,Hz,              -30.84, dBm,
           768030717,Hz,              -30.79, dBm,
           769705675,Hz,              -30.72, dBm,
           771380633,Hz,              -30.62, dBm,
           773055591,Hz,              -30.47, dBm,
           774730549,Hz,              -30.49, dBm,
           776405507,Hz,              -30.36, dBm,
           778080465,Hz,              -30.24, dBm,
           779755423,Hz,              -30.18, dBm,
           781430381,Hz,              -30.09, dBm,
           783105339,Hz,              -29.96, dBm,
           784780297,Hz,              -29.85, dBm,
           786455255,Hz,              -29.66, dBm,
           788130213,Hz,              -29.56, dBm,
           789805171,Hz,              -29.41, dBm,
           791480129,Hz,              -29.31, dBm,
           793155087,Hz,              -29.19, dBm,
           794830045,Hz,              -29.07, dBm,
           796505003,Hz,              -28.93, dBm,
           798179961,Hz,              -28.71, dBm,
           799854919,Hz,              -28.61, dBm,
           801529877,Hz,              -28.53, dBm,
           803204835,Hz,              -28.35, dBm,
           804879793,Hz,              -28.28, dBm,
           806554751,Hz,              -28.15, dBm,
           808229709,Hz,              -28.03, dBm,
           809904667,Hz,              -27.91, dBm,
           811579625,Hz,              -27.72, dBm,
           813254583,Hz,              -27.69, dBm,
           814929541,Hz,              -27.57, dBm,
           816604499,Hz,              -27.50, dBm,
           818279457,Hz,              -27.41, dBm,
           819954415,Hz,              -27.33, dBm,
           821629373,Hz,              -27.22, dBm,
           823304331,Hz,              -27.11, dBm,
           824979289,Hz,              -27.07, dBm,
           826654247,Hz,              -26.98, dBm,
           828329205,Hz,              -26.88, dBm,
           830004163,Hz,              -26.72, dBm,
           831679121,Hz,              -26.72, dBm,
           833354079,Hz,              -26.70, dBm,
           835029037,Hz,              -26.56, dBm,
           836703995,Hz,              -26.55, dBm,
           838378953,Hz,              -26.43, dBm,
           840053911,Hz,              -26.33, dBm,
           841728869,Hz,              -26.27, dBm,
           843403827,Hz,              -26.15, dBm,
           845078785,Hz,              -26.06, dBm,
           846753743,Hz,              -25.97, dBm,
           848428701,Hz,              -25.84, dBm,
           850103659,Hz,              -25.75, dBm,
           851778617,Hz,              -25.71, dBm,
           853453575,Hz,              -25.57, dBm,
           855128533,Hz,              -25.46, dBm,
           856803491,Hz,              -25.37, dBm,
           858478449,Hz,              -25.31, dBm,
           860153407,Hz,              -25.25, dBm,
           861828365,Hz,              -25.15, dBm,
           863503323,Hz,              -25.06, dBm,
           865178281,Hz,              -24.94, dBm,
           866853239,Hz,              -24.91, dBm,
           868528197,Hz,              -24.80, dBm,
           870203155,Hz,              -24.78, dBm,
           871878113,Hz,              -24.76, dBm,
           873553071,Hz,              -24.75, dBm,
           875228029,Hz,              -24.67, dBm,
           876902987,Hz,              -24.59, dBm,
           878577945,Hz,              -24.62, dBm,
           880252903,Hz,              -24.63, dBm,
           881927861,Hz,              -24.58, dBm,
           883602819,Hz,              -24.59, dBm,
           885277777,Hz,              -24.59, dBm,
           886952735,Hz,              -24.66, dBm,
           888627693,Hz,              -24.60, dBm,
           890302651,Hz,              -24.64, dBm,
           891977609,Hz,              -24.64, dBm,
           893652567,Hz,              -24.67, dBm,
           895327525,Hz,              -24.60, dBm,
           897002483,Hz,              -24.67, dBm,
           898677441,Hz,              -24.64, dBm,
           900352399,Hz,              -24.67, dBm,
           902027357,Hz,              -24.66, dBm,
           903702315,Hz,              -24.69, dBm,
           905377273,Hz,              -24.62, dBm,
           907052231,Hz,              -24.64, dBm,
           908727189,Hz,              -24.65, dBm,
           910402147,Hz,              -24.60, dBm,
           912077105,Hz,              -24.56, dBm,
           913752063,Hz,              -24.49, dBm,
           915427021,Hz,              -24.53, dBm,
           917101979,Hz,              -24.46, dBm,
           918776937,Hz,              -24.42, dBm,
           920451895,Hz,              -24.37, dBm,
           922126853,Hz,              -24.31, dBm,
           923801811,Hz,              -24.24, dBm,
           925476769,Hz,              -24.21, dBm,
           927151727,Hz,              -24.19, dBm,
           928826685,Hz,              -24.18, dBm,
           930501643,Hz,              -24.12, dBm,
           932176601,Hz,              -24.10, dBm,
           933851559,Hz,              -24.10, dBm,
           935526517,Hz,              -24.10, dBm,
           937201475,Hz,              -24.04, dBm,
           938876433,Hz,              -24.08, dBm,
           940551391,Hz,              -24.08, dBm,
           942226349,Hz,              -24.11, dBm,
           943901307,Hz,              -24.16, dBm,
           945576265,Hz,              -24.17, dBm,
           947251223,Hz,              -24.28, dBm,
           948926181,Hz,              -24.15, dBm,
           950601139,Hz,              -24.31, dBm,
           952276097,Hz,              -24.35, dBm,
           953951055,Hz,              -24.45, dBm,
           955626013,Hz,              -24.47, dBm,
           957300971,Hz,              -24.55, dBm,
           958975929,Hz,              -24.59, dBm,
           960650887,Hz,              -24.68, dBm,
           962325845,Hz,              -24.72, dBm,
           964000803,Hz,              -24.72, dBm,
           965675761,Hz,              -24.83, dBm,
           967350719,Hz,              -24.90, dBm,
           969025677,Hz,              -24.91, dBm,
           970700635,Hz,              -24.94, dBm,
           972375593,Hz,              -24.88, dBm,
           974050551,Hz,              -24.93, dBm,
           975725509,Hz,              -24.96, dBm,
           977400467,Hz,              -24.90, dBm,
           979075425,Hz,              -24.91, dBm,
           980750383,Hz,              -24.86, dBm,
           982425341,Hz,              -24.86, dBm,
           984100299,Hz,              -24.80, dBm,
           985775257,Hz,              -24.69, dBm,
           987450215,Hz,              -24.70, dBm,
           989125173,Hz,              -24.63, dBm,
           990800131,Hz,              -24.55, dBm,
           992475089,Hz,              -24.56, dBm,
           994150047,Hz,              -24.45, dBm,
           995825005,Hz,              -24.39, dBm,
           997499963,Hz,              -24.36, dBm,
           999174921,Hz,              -24.32, dBm,
          1000849879,Hz,              -24.31, dBm,
          1002524837,Hz,              -24.24, dBm,
          1004199795,Hz,              -24.33, dBm,
          1005874753,Hz,              -24.29, dBm,
          1007549711,Hz,              -24.32, dBm,
          1009224669,Hz,              -24.35, dBm,
          1010899627,Hz,              -24.40, dBm,
          1012574585,Hz,              -24.51, dBm,
          1014249543,Hz,              -24.57, dBm,
          1015924501,Hz,              -24.68, dBm,
          1017599459,Hz,              -24.78, dBm,
          1019274417,Hz,              -24.93, dBm,
          1020949375,Hz,              -25.03, dBm,
          1022624333,Hz,              -25.10, dBm,
          1024299291,Hz,              -25.23, dBm,
          1025974249,Hz,              -25.43, dBm,
          1027649207,Hz,              -25.51, dBm,
          1029324165,Hz,              -25.62, dBm,
          1030999123,Hz,              -25.68, dBm,
          1032674081,Hz,              -25.84, dBm,
          1034349039,Hz,              -25.97, dBm,
          1036023997,Hz,              -26.03, dBm,
          1037698955,Hz,              -26.09, dBm,
          1039373913,Hz,              -26.15, dBm,
          1041048871,Hz,              -26.16, dBm,
          1042723829,Hz,              -26.31, dBm,
          1044398787,Hz,              -26.28, dBm,
          1046073745,Hz,              -26.37, dBm,
          1047748703,Hz,              -26.43, dBm,
