Trace1,
Freq,,Amp,,
           500000000,Hz,              -30.78, dBm,
           501666666,Hz,              -30.72, dBm,
           503333332,Hz,              -30.74, dBm,
           504999998,Hz,              -30.62, dBm,
           506666664,Hz,              -30.57, dBm,
           508333330,Hz,              -30.56, dBm,
           509999996,Hz,              -30.50, dBm,
           511666662,Hz,              -30.45, dBm,
           513333328,Hz,              -30.37, dBm,
           514999994,Hz,              -30.33, dBm,
           516666660,Hz,              -30.23, dBm,
           518333326,Hz,              -30.18, dBm,
           519999992,Hz,              -30.13, dBm,
           521666658,Hz,              -30.10, dBm,
           523333324,Hz,              -30.07, dBm,
           524999990,Hz,              -29.97, dBm,
           526666656,Hz,              -30.01, dBm,
           528333322,Hz,              -29.93, dBm,
           529999988,Hz,              -29.98, dBm,
           531666654,Hz,              -29.77, dBm,
           533333320,Hz,              -29.77, dBm,
           534999986,Hz,              -29.65, dBm,
           536666652,Hz,              -29.61, dBm,
           538333318,Hz,              -29.59, dBm,
           539999984,Hz,              -29.57, dBm,
           541666650,Hz,              -29.54, dBm,
           543333316,Hz,              -29.48, dBm,
           544999982,Hz,              -29.39, dBm,
           546666648,Hz,              -29.45, dBm,
           548333314,Hz,              -29.36, dBm,
           549999980,Hz,              -29.32, dBm,
           551666646,Hz,              -29.30, dBm,
           553333312,Hz,              -29.27, dBm,
           554999978,Hz,              -29.31, dBm,
           556666644,Hz,              -29.23, dBm,
           558333310,Hz,              -29.29, dBm,
           559999976,Hz,              -29.25, dBm,
           561666642,Hz,              -29.21, dBm,
           563333308,Hz,              -29.22, dBm,
           564999974,Hz,              -29.19, dBm,
           566666640,Hz,              -29.23, dBm,
           568333306,Hz,              -29.17, dBm,
           569999972,Hz,              -29.24, dBm,
           571666638,Hz,              -29.13, dBm,
           573333304,Hz,              -29.16, dBm,
           574999970,Hz,              -29.24, dBm,
           576666636,Hz,              -29.23, dBm,
           578333302,Hz,              -29.19, dBm,
           579999968,Hz,              -29.19, dBm,
           581666634,Hz,              -29.13, dBm,
           583333300,Hz,              -29.26, dBm,
           584999966,Hz,              -29.21, dBm,
           586666632,Hz,              -29.17, dBm,
           588333298,Hz,              -29.23, dBm,
           589999964,Hz,              -29.28, dBm,
           591666630,Hz,              -29.32, dBm,
           593333296,Hz,              -29.30, dBm,
           594999962,Hz,              -29.33, dBm,
           596666628,Hz,              -29.36, dBm,
           598333294,Hz,              -29.38, dBm,
           599999960,Hz,              -29.45, dBm,
           601666626,Hz,              -29.46, dBm,
           603333292,Hz,              -29.45, dBm,
           604999958,Hz,              -29.46, dBm,
           606666624,Hz,              -29.51, dBm,
           608333290,Hz,              -29.56, dBm,
           609999956,Hz,              -29.66, dBm,
           611666622,Hz,              -29.71, dBm,
           613333288,Hz,              -29.70, dBm,
           614999954,Hz,              -29.70, dBm,
           616666620,Hz,              -29.82, dBm,
           618333286,Hz,              -29.78, dBm,
           619999952,Hz,              -29.93, dBm,
           621666618,Hz,              -29.94, dBm,
           623333284,Hz,              -30.07, dBm,
           624999950,Hz,              -30.06, dBm,
           626666616,Hz,              -30.17, dBm,
           628333282,Hz,              -30.20, dBm,
           629999948,Hz,              -30.34, dBm,
           631666614,Hz,              -30.38, dBm,
           633333280,Hz,              -30.34, dBm,
           634999946,Hz,              -30.50, dBm,
           636666612,Hz,              -30.56, dBm,
           638333278,Hz,              -30.61, dBm,
           639999944,Hz,              -30.71, dBm,
           641666610,Hz,              -30.86, dBm,
           643333276,Hz,              -30.89, dBm,
           644999942,Hz,              -30.96, dBm,
           646666608,Hz,              -31.01, dBm,
           648333274,Hz,              -31.01, dBm,
           649999940,Hz,              -31.14, dBm,
           651666606,Hz,              -31.18, dBm,
           653333272,Hz,              -31.25, dBm,
           654999938,Hz,              -31.28, dBm,
           656666604,Hz,              -31.34, dBm,
           658333270,Hz,              -31.39, dBm,
           659999936,Hz,              -31.45, dBm,
           661666602,Hz,              -31.54, dBm,
           663333268,Hz,              -31.48, dBm,
           664999934,Hz,              -31.47, dBm,
           666666600,Hz,              -31.47, dBm,
           668333266,Hz,              -31.45, dBm,
           669999932,Hz,              -31.53, dBm,
           671666598,Hz,              -31.56, dBm,
           673333264,Hz,              -31.58, dBm,
           674999930,Hz,              -31.50, dBm,
           676666596,Hz,              -31.55, dBm,
           678333262,Hz,              -31.51, dBm,
           679999928,Hz,              -31.56, dBm,
           681666594,Hz,              -31.57, dBm,
           683333260,Hz,              -31.55, dBm,
           684999926,Hz,              -31.54, dBm,
           686666592,Hz,              -31.55, dBm,
           688333258,Hz,              -31.46, dBm,
           689999924,Hz,              -31.52, dBm,
           691666590,Hz,              -31.47, dBm,
           693333256,Hz,              -31.38, dBm,
           694999922,Hz,              -31.44, dBm,
           696666588,Hz,              -31.44, dBm,
           698333254,Hz,              -31.44, dBm,
           699999920,Hz,              -31.35, dBm,
           701666586,Hz,              -31.40, dBm,
           703333252,Hz,              -31.35, dBm,
           704999918,Hz,              -31.40, dBm,
           706666584,Hz,              -31.23, dBm,
           708333250,Hz,              -31.25, dBm,
           709999916,Hz,              -31.16, dBm,
           711666582,Hz,              -31.21, dBm,
           713333248,Hz,              -31.25, dBm,
           714999914,Hz,              -31.14, dBm,
           716666580,Hz,              -31.13, dBm,
           718333246,Hz,              -31.17, dBm,
           719999912,Hz,              -31.08, dBm,
           721666578,Hz,              -31.06, dBm,
           723333244,Hz,              -31.04, dBm,
           724999910,Hz,              -31.01, dBm,
           726666576,Hz,              -30.97, dBm,
           728333242,Hz,              -30.92, dBm,
           729999908,Hz,              -30.78, dBm,
           731666574,Hz,              -30.83, dBm,
           733333240,Hz,              -30.84, dBm,
           734999906,Hz,              -30.64, dBm,
           736666572,Hz,              -30.49, dBm,
           738333238,Hz,              -30.58, dBm,
           739999904,Hz,              -30.41, dBm,
           741666570,Hz,              -30.33, dBm,
           743333236,Hz,              -30.26, dBm,
           744999902,Hz,              -30.21, dBm,
           746666568,Hz,              -30.06, dBm,
           748333234,Hz,              -29.91, dBm,
           749999900,Hz,              -29.74, dBm,
           751666566,Hz,              -29.72, dBm,
           753333232,Hz,              -29.73, dBm,
           754999898,Hz,              -29.47, dBm,
           756666564,Hz,              -29.30, dBm,
           758333230,Hz,              -29.21, dBm,
           759999896,Hz,              -29.18, dBm,
           761666562,Hz,              -29.05, dBm,
           763333228,Hz,              -28.89, dBm,
           764999894,Hz,              -28.81, dBm,
           766666560,Hz,              -28.61, dBm,
           768333226,Hz,              -28.57, dBm,
           769999892,Hz,              -28.48, dBm,
           771666558,Hz,              -28.31, dBm,
           773333224,Hz,              -28.16, dBm,
           774999890,Hz,              -28.08, dBm,
           776666556,Hz,              -27.93, dBm,
           778333222,Hz,              -27.85, dBm,
           779999888,Hz,              -27.69, dBm,
           781666554,Hz,              -27.56, dBm,
           783333220,Hz,              -27.54, dBm,
           784999886,Hz,              -27.40, dBm,
           786666552,Hz,              -27.33, dBm,
           788333218,Hz,              -27.20, dBm,
           789999884,Hz,              -27.08, dBm,
           791666550,Hz,              -26.98, dBm,
           793333216,Hz,              -26.91, dBm,
           794999882,Hz,              -26.81, dBm,
           796666548,Hz,              -26.71, dBm,
           798333214,Hz,              -26.63, dBm,
           799999880,Hz,              -26.52, dBm,
           801666546,Hz,              -26.37, dBm,
           803333212,Hz,              -26.33, dBm,
           804999878,Hz,              -26.17, dBm,
           806666544,Hz,              -26.05, dBm,
           808333210,Hz,              -25.93, dBm,
           809999876,Hz,              -25.81, dBm,
           811666542,Hz,              -25.74, dBm,
           813333208,Hz,              -25.61, dBm,
           814999874,Hz,              -25.54, dBm,
           816666540,Hz,              -25.33, dBm,
           818333206,Hz,              -25.22, dBm,
           819999872,Hz,              -25.05, dBm,
           821666538,Hz,              -24.85, dBm,
           823333204,Hz,              -24.78, dBm,
           824999870,Hz,              -24.63, dBm,
           826666536,Hz,              -24.49, dBm,
           828333202,Hz,              -24.40, dBm,
           829999868,Hz,              -24.27, dBm,
           831666534,Hz,              -24.09, dBm,
           833333200,Hz,              -23.95, dBm,
           834999866,Hz,              -23.87, dBm,
           836666532,Hz,              -23.68, dBm,
           838333198,Hz,              -23.53, dBm,
           839999864,Hz,              -23.44, dBm,
           841666530,Hz,              -23.34, dBm,
           843333196,Hz,              -23.19, dBm,
           844999862,Hz,              -23.09, dBm,
           846666528,Hz,              -23.02, dBm,
           848333194,Hz,              -22.89, dBm,
           849999860,Hz,              -22.87, dBm,
           851666526,Hz,              -22.78, dBm,
           853333192,Hz,              -22.75, dBm,
           854999858,Hz,              -22.65, dBm,
           856666524,Hz,              -22.63, dBm,
           858333190,Hz,              -22.52, dBm,
           859999856,Hz,              -22.55, dBm,
           861666522,Hz,              -22.47, dBm,
           863333188,Hz,              -22.42, dBm,
           864999854,Hz,              -22.37, dBm,
           866666520,Hz,              -22.34, dBm,
           868333186,Hz,              -22.34, dBm,
           869999852,Hz,              -22.31, dBm,
           871666518,Hz,              -22.30, dBm,
           873333184,Hz,              -22.28, dBm,
           874999850,Hz,              -22.23, dBm,
           876666516,Hz,              -22.26, dBm,
           878333182,Hz,              -22.18, dBm,
           879999848,Hz,              -22.19, dBm,
           881666514,Hz,              -22.10, dBm,
           883333180,Hz,              -22.10, dBm,
           884999846,Hz,              -22.12, dBm,
           886666512,Hz,              -22.04, dBm,
           888333178,Hz,              -21.98, dBm,
           889999844,Hz,              -21.98, dBm,
           891666510,Hz,              -21.86, dBm,
           893333176,Hz,              -21.89, dBm,
           894999842,Hz,              -21.78, dBm,
           896666508,Hz,              -21.70, dBm,
           898333174,Hz,              -21.69, dBm,
           899999840,Hz,              -21.66, dBm,
           901666506,Hz,              -21.53, dBm,
           903333172,Hz,              -21.52, dBm,
           904999838,Hz,              -21.44, dBm,
           906666504,Hz,              -21.33, dBm,
           908333170,Hz,              -21.29, dBm,
           909999836,Hz,              -21.22, dBm,
           911666502,Hz,              -21.15, dBm,
           913333168,Hz,              -21.10, dBm,
           914999834,Hz,              -21.05, dBm,
           916666500,Hz,              -20.98, dBm,
           918333166,Hz,              -20.95, dBm,
           919999832,Hz,              -20.90, dBm,
           921666498,Hz,              -20.87, dBm,
           923333164,Hz,              -20.83, dBm,
           924999830,Hz,              -20.81, dBm,
           926666496,Hz,              -20.79, dBm,
           928333162,Hz,              -20.80, dBm,
           929999828,Hz,              -20.81, dBm,
           931666494,Hz,              -20.77, dBm,
           933333160,Hz,              -20.79, dBm,
           934999826,Hz,              -20.82, dBm,
           936666492,Hz,              -20.81, dBm,
           938333158,Hz,              -20.83, dBm,
           939999824,Hz,              -20.89, dBm,
           941666490,Hz,              -20.93, dBm,
           943333156,Hz,              -20.96, dBm,
           944999822,Hz,              -21.01, dBm,
           946666488,Hz,              -21.11, dBm,
           948333154,Hz,              -21.12, dBm,
           949999820,Hz,              -21.14, dBm,
           951666486,Hz,              -21.22, dBm,
           953333152,Hz,              -21.25, dBm,
           954999818,Hz,              -21.22, dBm,
           956666484,Hz,              -21.27, dBm,
           958333150,Hz,              -21.31, dBm,
