Trace1,
Freq,,Amp,,
           600000000,Hz,              -59.86, dBm,
           601333333,Hz,              -59.68, dBm,
           602666666,Hz,              -59.52, dBm,
           603999999,Hz,              -60.07, dBm,
           605333332,Hz,              -59.17, dBm,
           606666665,Hz,              -59.44, dBm,
           607999998,Hz,              -59.51, dBm,
           609333331,Hz,              -59.14, dBm,
           610666664,Hz,              -60.20, dBm,
           611999997,Hz,              -59.46, dBm,
           613333330,Hz,              -58.20, dBm,
           614666663,Hz,              -59.48, dBm,
           615999996,Hz,              -58.84, dBm,
           617333329,Hz,              -59.18, dBm,
           618666662,Hz,              -59.45, dBm,
           619999995,Hz,              -59.07, dBm,
           621333328,Hz,              -59.77, dBm,
           622666661,Hz,              -60.11, dBm,
           623999994,Hz,              -59.79, dBm,
           625333327,Hz,              -59.66, dBm,
           626666660,Hz,              -59.31, dBm,
           627999993,Hz,              -59.36, dBm,
           629333326,Hz,              -60.03, dBm,
           630666659,Hz,              -60.16, dBm,
           631999992,Hz,              -59.88, dBm,
           633333325,Hz,              -59.30, dBm,
           634666658,Hz,              -60.16, dBm,
           635999991,Hz,              -59.62, dBm,
           637333324,Hz,              -59.24, dBm,
           638666657,Hz,              -59.96, dBm,
           639999990,Hz,              -59.40, dBm,
           641333323,Hz,              -60.07, dBm,
           642666656,Hz,              -59.32, dBm,
           643999989,Hz,              -59.79, dBm,
           645333322,Hz,              -58.86, dBm,
           646666655,Hz,              -59.55, dBm,
           647999988,Hz,              -59.92, dBm,
           649333321,Hz,              -59.97, dBm,
           650666654,Hz,              -59.74, dBm,
           651999987,Hz,              -60.04, dBm,
           653333320,Hz,              -59.13, dBm,
           654666653,Hz,              -60.17, dBm,
           655999986,Hz,              -60.20, dBm,
           657333319,Hz,              -59.64, dBm,
           658666652,Hz,              -59.43, dBm,
           659999985,Hz,              -59.12, dBm,
           661333318,Hz,              -59.68, dBm,
           662666651,Hz,              -59.49, dBm,
           663999984,Hz,              -59.69, dBm,
           665333317,Hz,              -59.27, dBm,
           666666650,Hz,              -59.37, dBm,
           667999983,Hz,              -59.83, dBm,
           669333316,Hz,              -59.60, dBm,
           670666649,Hz,              -59.51, dBm,
           671999982,Hz,              -58.99, dBm,
           673333315,Hz,              -28.09, dBm,
           674666648,Hz,              -22.11, dBm,
           675999981,Hz,              -22.03, dBm,
           677333314,Hz,              -22.00, dBm,
           678666647,Hz,              -21.94, dBm,
           679999980,Hz,              -21.94, dBm,
           681333313,Hz,              -21.91, dBm,
           682666646,Hz,              -21.92, dBm,
