Trace1,
Freq,,Amp,,
                   0,Hz,              -15.46, dBm,
             2500000,Hz,              -55.30, dBm,
             5000000,Hz,              -57.55, dBm,
             7500000,Hz,              -58.02, dBm,
            10000000,Hz,              -59.21, dBm,
            12500000,Hz,              -59.25, dBm,
            15000000,Hz,              -60.28, dBm,
            17500000,Hz,              -60.27, dBm,
            20000000,Hz,              -59.89, dBm,
            22500000,Hz,              -60.26, dBm,
            25000000,Hz,              -60.33, dBm,
            27500000,Hz,              -59.36, dBm,
            30000000,Hz,              -60.96, dBm,
            32500000,Hz,              -60.11, dBm,
            35000000,Hz,              -60.56, dBm,
            37500000,Hz,              -60.23, dBm,
            40000000,Hz,              -60.76, dBm,
            42500000,Hz,              -59.83, dBm,
            45000000,Hz,              -60.41, dBm,
            47500000,Hz,              -59.22, dBm,
            50000000,Hz,              -60.79, dBm,
            52500000,Hz,              -61.45, dBm,
            55000000,Hz,              -60.10, dBm,
            57500000,Hz,              -60.82, dBm,
            60000000,Hz,              -60.65, dBm,
            62500000,Hz,              -60.18, dBm,
            65000000,Hz,              -60.57, dBm,
            67500000,Hz,              -60.18, dBm,
            70000000,Hz,              -60.58, dBm,
            72500000,Hz,              -60.61, dBm,
            75000000,Hz,              -60.93, dBm,
            77500000,Hz,              -60.81, dBm,
            80000000,Hz,              -60.57, dBm,
            82500000,Hz,              -60.62, dBm,
            85000000,Hz,              -60.48, dBm,
            87500000,Hz,              -59.63, dBm,
            90000000,Hz,              -60.13, dBm,
            92500000,Hz,              -60.96, dBm,
            95000000,Hz,              -59.76, dBm,
            97500000,Hz,              -59.96, dBm,
           100000000,Hz,              -40.48, dBm,
           102500000,Hz,              -40.62, dBm,
           105000000,Hz,              -40.69, dBm,
           107500000,Hz,              -40.71, dBm,
           110000000,Hz,              -40.80, dBm,
           112500000,Hz,              -40.39, dBm,
           115000000,Hz,              -40.14, dBm,
           117500000,Hz,              -39.81, dBm,
           120000000,Hz,              -39.68, dBm,
           122500000,Hz,              -39.18, dBm,
           125000000,Hz,              -38.98, dBm,
           127500000,Hz,              -38.56, dBm,
           130000000,Hz,              -38.29, dBm,
           132500000,Hz,              -38.28, dBm,
           135000000,Hz,              -37.97, dBm,
           137500000,Hz,              -37.95, dBm,
           140000000,Hz,              -37.99, dBm,
           142500000,Hz,              -37.85, dBm,
           145000000,Hz,              -37.80, dBm,
           147500000,Hz,              -37.74, dBm,
           150000000,Hz,              -37.97, dBm,
           152500000,Hz,              -37.90, dBm,
           155000000,Hz,              -37.84, dBm,
           157500000,Hz,              -37.64, dBm,
           160000000,Hz,              -37.43, dBm,
           162500000,Hz,              -37.14, dBm,
           165000000,Hz,              -36.72, dBm,
           167500000,Hz,              -36.48, dBm,
           170000000,Hz,              -36.13, dBm,
           172500000,Hz,              -35.88, dBm,
           175000000,Hz,              -35.82, dBm,
           177500000,Hz,              -35.65, dBm,
           180000000,Hz,              -35.55, dBm,
           182500000,Hz,              -35.61, dBm,
           185000000,Hz,              -35.64, dBm,
           187500000,Hz,              -35.48, dBm,
           190000000,Hz,              -35.42, dBm,
           192500000,Hz,              -35.40, dBm,
           195000000,Hz,              -35.66, dBm,
           197500000,Hz,              -35.35, dBm,
           200000000,Hz,              -35.52, dBm,
           202500000,Hz,              -35.24, dBm,
           205000000,Hz,              -35.05, dBm,
           207500000,Hz,              -35.16, dBm,
           210000000,Hz,              -34.96, dBm,
           212500000,Hz,              -34.84, dBm,
           215000000,Hz,              -34.59, dBm,
           217500000,Hz,              -34.96, dBm,
           220000000,Hz,              -34.91, dBm,
           222500000,Hz,              -34.86, dBm,
           225000000,Hz,              -34.99, dBm,
           227500000,Hz,              -35.22, dBm,
           230000000,Hz,              -35.25, dBm,
           232500000,Hz,              -35.16, dBm,
           235000000,Hz,              -35.20, dBm,
           237500000,Hz,              -35.28, dBm,
           240000000,Hz,              -35.64, dBm,
           242500000,Hz,              -36.13, dBm,
           245000000,Hz,              -36.83, dBm,
           247500000,Hz,              -36.68, dBm,
           250000000,Hz,              -36.65, dBm,
           252500000,Hz,              -36.92, dBm,
           255000000,Hz,              -36.93, dBm,
           257500000,Hz,              -36.98, dBm,
           260000000,Hz,              -36.84, dBm,
           262500000,Hz,              -36.98, dBm,
           265000000,Hz,              -37.00, dBm,
           267500000,Hz,              -36.96, dBm,
           270000000,Hz,              -37.10, dBm,
           272500000,Hz,              -36.90, dBm,
           275000000,Hz,              -37.14, dBm,
           277500000,Hz,              -37.05, dBm,
           280000000,Hz,              -36.89, dBm,
           282500000,Hz,              -37.08, dBm,
           285000000,Hz,              -37.43, dBm,
           287500000,Hz,              -37.96, dBm,
           290000000,Hz,              -38.87, dBm,
           292500000,Hz,              -39.25, dBm,
           295000000,Hz,              -39.97, dBm,
           297500000,Hz,              -39.90, dBm,
           300000000,Hz,              -39.79, dBm,
           302500000,Hz,              -39.40, dBm,
           305000000,Hz,              -39.32, dBm,
           307500000,Hz,              -39.03, dBm,
           310000000,Hz,              -39.05, dBm,
           312500000,Hz,              -38.82, dBm,
           315000000,Hz,              -38.48, dBm,
           317500000,Hz,              -38.91, dBm,
           320000000,Hz,              -38.66, dBm,
           322500000,Hz,              -38.58, dBm,
           325000000,Hz,              -38.74, dBm,
           327500000,Hz,              -38.40, dBm,
           330000000,Hz,              -38.22, dBm,
           332500000,Hz,              -38.34, dBm,
           335000000,Hz,              -38.17, dBm,
           337500000,Hz,              -38.29, dBm,
           340000000,Hz,              -38.12, dBm,
           342500000,Hz,              -38.15, dBm,
           345000000,Hz,              -37.97, dBm,
           347500000,Hz,              -37.77, dBm,
           350000000,Hz,              -37.60, dBm,
           352500000,Hz,              -37.53, dBm,
           355000000,Hz,              -37.42, dBm,
           357500000,Hz,              -37.03, dBm,
           360000000,Hz,              -37.19, dBm,
           362500000,Hz,              -37.22, dBm,
           365000000,Hz,              -37.02, dBm,
           367500000,Hz,              -36.93, dBm,
           370000000,Hz,              -36.84, dBm,
           372500000,Hz,              -36.78, dBm,
           375000000,Hz,              -36.78, dBm,
           377500000,Hz,              -36.76, dBm,
           380000000,Hz,              -36.80, dBm,
           382500000,Hz,              -36.81, dBm,
           385000000,Hz,              -36.61, dBm,
           387500000,Hz,              -36.85, dBm,
           390000000,Hz,              -36.71, dBm,
           392500000,Hz,              -36.52, dBm,
           395000000,Hz,              -36.55, dBm,
           397500000,Hz,              -36.37, dBm,
           400000000,Hz,              -36.43, dBm,
           402500000,Hz,              -36.16, dBm,
           405000000,Hz,              -36.13, dBm,
           407500000,Hz,              -36.00, dBm,
           410000000,Hz,              -35.83, dBm,
           412500000,Hz,              -36.01, dBm,
           415000000,Hz,              -35.65, dBm,
           417500000,Hz,              -35.47, dBm,
           420000000,Hz,              -35.37, dBm,
           422500000,Hz,              -35.31, dBm,
           425000000,Hz,              -35.06, dBm,
           427500000,Hz,              -35.02, dBm,
