Trace1,
Freq,,Amp,,
                   0,Hz,              -15.67, dBm,
             2500000,Hz,              -58.03, dBm,
             5000000,Hz,              -60.96, dBm,
             7500000,Hz,              -62.67, dBm,
            10000000,Hz,              -62.81, dBm,
            12500000,Hz,              -63.01, dBm,
            15000000,Hz,              -62.96, dBm,
            17500000,Hz,              -63.85, dBm,
            20000000,Hz,              -63.56, dBm,
            22500000,Hz,              -62.40, dBm,
            25000000,Hz,              -63.01, dBm,
            27500000,Hz,              -63.25, dBm,
            30000000,Hz,              -63.44, dBm,
            32500000,Hz,              -62.50, dBm,
            35000000,Hz,              -63.92, dBm,
            37500000,Hz,              -62.84, dBm,
            40000000,Hz,              -61.81, dBm,
            42500000,Hz,              -63.99, dBm,
            45000000,Hz,              -63.99, dBm,
            47500000,Hz,              -62.44, dBm,
            50000000,Hz,              -62.63, dBm,
            52500000,Hz,              -63.92, dBm,
            55000000,Hz,              -63.36, dBm,
            57500000,Hz,              -62.98, dBm,
            60000000,Hz,              -62.71, dBm,
            62500000,Hz,              -62.90, dBm,
            65000000,Hz,              -63.48, dBm,
            67500000,Hz,              -64.80, dBm,
            70000000,Hz,              -63.01, dBm,
            72500000,Hz,              -61.93, dBm,
            75000000,Hz,              -63.91, dBm,
            77500000,Hz,              -63.64, dBm,
            80000000,Hz,              -64.47, dBm,
            82500000,Hz,              -62.85, dBm,
            85000000,Hz,              -63.68, dBm,
            87500000,Hz,              -62.40, dBm,
            90000000,Hz,              -63.78, dBm,
            92500000,Hz,              -62.77, dBm,
            95000000,Hz,              -63.02, dBm,
            97500000,Hz,              -62.89, dBm,
           100000000,Hz,              -35.32, dBm,
           102500000,Hz,              -62.78, dBm,
           105000000,Hz,              -60.85, dBm,
           107500000,Hz,              -62.79, dBm,
           110000000,Hz,              -63.25, dBm,
           112500000,Hz,              -64.81, dBm,
           115000000,Hz,              -62.61, dBm,
           117500000,Hz,              -63.54, dBm,
           120000000,Hz,              -63.10, dBm,
           122500000,Hz,              -61.64, dBm,
           125000000,Hz,              -64.49, dBm,
           127500000,Hz,              -62.60, dBm,
           130000000,Hz,              -63.60, dBm,
           132500000,Hz,              -62.65, dBm,
           135000000,Hz,              -62.54, dBm,
           137500000,Hz,              -64.52, dBm,
           140000000,Hz,              -61.93, dBm,
           142500000,Hz,              -64.28, dBm,
           145000000,Hz,              -64.11, dBm,
           147500000,Hz,              -63.25, dBm,
           150000000,Hz,              -62.03, dBm,
           152500000,Hz,              -62.89, dBm,
           155000000,Hz,              -62.68, dBm,
           157500000,Hz,              -63.15, dBm,
           160000000,Hz,              -64.01, dBm,
           162500000,Hz,              -64.09, dBm,
           165000000,Hz,              -63.44, dBm,
           167500000,Hz,              -63.20, dBm,
           170000000,Hz,              -63.84, dBm,
           172500000,Hz,              -63.31, dBm,
           175000000,Hz,              -63.52, dBm,
           177500000,Hz,              -64.08, dBm,
           180000000,Hz,              -63.55, dBm,
           182500000,Hz,              -63.90, dBm,
           185000000,Hz,              -62.98, dBm,
           187500000,Hz,              -62.11, dBm,
           190000000,Hz,              -61.38, dBm,
           192500000,Hz,              -62.56, dBm,
           195000000,Hz,              -63.63, dBm,
           197500000,Hz,              -62.81, dBm,
           200000000,Hz,              -48.80, dBm,
           202500000,Hz,              -49.39, dBm,
           205000000,Hz,              -63.33, dBm,
           207500000,Hz,              -63.72, dBm,
           210000000,Hz,              -62.01, dBm,
           212500000,Hz,              -63.18, dBm,
           215000000,Hz,              -62.09, dBm,
           217500000,Hz,              -64.65, dBm,
           220000000,Hz,              -62.06, dBm,
           222500000,Hz,              -64.15, dBm,
           225000000,Hz,              -63.12, dBm,
           227500000,Hz,              -63.96, dBm,
           230000000,Hz,              -63.10, dBm,
           232500000,Hz,              -63.52, dBm,
           235000000,Hz,              -62.03, dBm,
           237500000,Hz,              -63.64, dBm,
           240000000,Hz,              -63.71, dBm,
           242500000,Hz,              -63.84, dBm,
           245000000,Hz,              -63.71, dBm,
           247500000,Hz,              -61.63, dBm,
           250000000,Hz,              -62.61, dBm,
           252500000,Hz,              -62.54, dBm,
           255000000,Hz,              -62.75, dBm,
           257500000,Hz,              -63.59, dBm,
           260000000,Hz,              -63.63, dBm,
           262500000,Hz,              -63.14, dBm,
           265000000,Hz,              -64.45, dBm,
           267500000,Hz,              -62.43, dBm,
           270000000,Hz,              -62.91, dBm,
           272500000,Hz,              -61.51, dBm,
