Trace1,
Freq,,Amp,,
           500000000,Hz,              -35.32, dBm,
           501666666,Hz,              -35.20, dBm,
           503333332,Hz,              -35.08, dBm,
           504999998,Hz,              -35.24, dBm,
           506666664,Hz,              -35.35, dBm,
           508333330,Hz,              -35.46, dBm,
           509999996,Hz,              -35.47, dBm,
           511666662,Hz,              -35.44, dBm,
           513333328,Hz,              -35.59, dBm,
           514999994,Hz,              -35.38, dBm,
           516666660,Hz,              -35.62, dBm,
           518333326,Hz,              -35.57, dBm,
           519999992,Hz,              -35.58, dBm,
           521666658,Hz,              -35.67, dBm,
           523333324,Hz,              -35.66, dBm,
           524999990,Hz,              -35.67, dBm,
           526666656,Hz,              -35.63, dBm,
           528333322,Hz,              -35.70, dBm,
           529999988,Hz,              -35.74, dBm,
           531666654,Hz,              -35.51, dBm,
           533333320,Hz,              -35.64, dBm,
           534999986,Hz,              -35.74, dBm,
           536666652,Hz,              -35.60, dBm,
           538333318,Hz,              -35.57, dBm,
           539999984,Hz,              -35.68, dBm,
           541666650,Hz,              -35.64, dBm,
           543333316,Hz,              -35.51, dBm,
           544999982,Hz,              -35.45, dBm,
           546666648,Hz,              -35.53, dBm,
           548333314,Hz,              -35.45, dBm,
           549999980,Hz,              -35.40, dBm,
           551666646,Hz,              -35.36, dBm,
           553333312,Hz,              -35.38, dBm,
           554999978,Hz,              -35.32, dBm,
           556666644,Hz,              -35.30, dBm,
           558333310,Hz,              -35.21, dBm,
           559999976,Hz,              -35.07, dBm,
           561666642,Hz,              -35.23, dBm,
           563333308,Hz,              -35.18, dBm,
           564999974,Hz,              -35.14, dBm,
           566666640,Hz,              -35.05, dBm,
           568333306,Hz,              -35.07, dBm,
           569999972,Hz,              -35.05, dBm,
           571666638,Hz,              -34.99, dBm,
           573333304,Hz,              -34.94, dBm,
           574999970,Hz,              -34.73, dBm,
           576666636,Hz,              -34.82, dBm,
           578333302,Hz,              -34.74, dBm,
           579999968,Hz,              -34.85, dBm,
           581666634,Hz,              -34.69, dBm,
           583333300,Hz,              -34.67, dBm,
           584999966,Hz,              -34.74, dBm,
           586666632,Hz,              -34.65, dBm,
           588333298,Hz,              -34.69, dBm,
           589999964,Hz,              -34.45, dBm,
           591666630,Hz,              -34.63, dBm,
           593333296,Hz,              -34.49, dBm,
           594999962,Hz,              -34.56, dBm,
           596666628,Hz,              -34.29, dBm,
           598333294,Hz,              -34.52, dBm,
           599999960,Hz,              -34.36, dBm,
           601666626,Hz,              -34.43, dBm,
           603333292,Hz,              -34.39, dBm,
           604999958,Hz,              -34.28, dBm,
           606666624,Hz,              -34.30, dBm,
           608333290,Hz,              -34.22, dBm,
           609999956,Hz,              -34.31, dBm,
           611666622,Hz,              -34.24, dBm,
           613333288,Hz,              -34.08, dBm,
           614999954,Hz,              -34.18, dBm,
           616666620,Hz,              -33.99, dBm,
           618333286,Hz,              -34.01, dBm,
           619999952,Hz,              -34.08, dBm,
           621666618,Hz,              -34.10, dBm,
           623333284,Hz,              -34.07, dBm,
           624999950,Hz,              -34.00, dBm,
           626666616,Hz,              -33.95, dBm,
           628333282,Hz,              -33.97, dBm,
           629999948,Hz,              -34.08, dBm,
           631666614,Hz,              -34.01, dBm,
           633333280,Hz,              -33.78, dBm,
           634999946,Hz,              -33.96, dBm,
           636666612,Hz,              -33.86, dBm,
           638333278,Hz,              -33.92, dBm,
           639999944,Hz,              -33.87, dBm,
           641666610,Hz,              -33.89, dBm,
           643333276,Hz,              -33.90, dBm,
           644999942,Hz,              -33.91, dBm,
           646666608,Hz,              -33.75, dBm,
           648333274,Hz,              -33.96, dBm,
           649999940,Hz,              -33.95, dBm,
           651666606,Hz,              -33.95, dBm,
           653333272,Hz,              -33.91, dBm,
           654999938,Hz,              -34.04, dBm,
           656666604,Hz,              -33.92, dBm,
           658333270,Hz,              -34.02, dBm,
           659999936,Hz,              -33.98, dBm,
           661666602,Hz,              -33.95, dBm,
           663333268,Hz,              -33.93, dBm,
           664999934,Hz,              -33.93, dBm,
           666666600,Hz,              -33.95, dBm,
           668333266,Hz,              -33.84, dBm,
           669999932,Hz,              -34.05, dBm,
           671666598,Hz,              -33.88, dBm,
           673333264,Hz,              -34.03, dBm,
           674999930,Hz,              -34.01, dBm,
           676666596,Hz,              -34.01, dBm,
           678333262,Hz,              -33.96, dBm,
           679999928,Hz,              -34.03, dBm,
           681666594,Hz,              -33.98, dBm,
           683333260,Hz,              -33.85, dBm,
           684999926,Hz,              -33.88, dBm,
           686666592,Hz,              -33.83, dBm,
           688333258,Hz,              -33.88, dBm,
           689999924,Hz,              -33.92, dBm,
           691666590,Hz,              -34.01, dBm,
           693333256,Hz,              -33.87, dBm,
           694999922,Hz,              -33.87, dBm,
           696666588,Hz,              -33.88, dBm,
           698333254,Hz,              -33.99, dBm,
           699999920,Hz,              -33.85, dBm,
           701666586,Hz,              -33.80, dBm,
           703333252,Hz,              -33.80, dBm,
           704999918,Hz,              -33.67, dBm,
           706666584,Hz,              -33.79, dBm,
           708333250,Hz,              -33.75, dBm,
           709999916,Hz,              -33.71, dBm,
           711666582,Hz,              -33.75, dBm,
           713333248,Hz,              -33.72, dBm,
           714999914,Hz,              -33.59, dBm,
           716666580,Hz,              -33.59, dBm,
           718333246,Hz,              -33.55, dBm,
           719999912,Hz,              -33.53, dBm,
           721666578,Hz,              -33.65, dBm,
           723333244,Hz,              -33.38, dBm,
           724999910,Hz,              -33.57, dBm,
           726666576,Hz,              -33.50, dBm,
           728333242,Hz,              -33.32, dBm,
           729999908,Hz,              -33.36, dBm,
           731666574,Hz,              -33.28, dBm,
           733333240,Hz,              -33.36, dBm,
           734999906,Hz,              -33.25, dBm,
           736666572,Hz,              -33.23, dBm,
           738333238,Hz,              -33.21, dBm,
           739999904,Hz,              -33.13, dBm,
           741666570,Hz,              -33.12, dBm,
           743333236,Hz,              -33.16, dBm,
           744999902,Hz,              -33.10, dBm,
           746666568,Hz,              -33.07, dBm,
           748333234,Hz,              -33.10, dBm,
           749999900,Hz,              -32.98, dBm,
           751666566,Hz,              -32.99, dBm,
           753333232,Hz,              -32.87, dBm,
           754999898,Hz,              -32.95, dBm,
           756666564,Hz,              -32.89, dBm,
           758333230,Hz,              -32.86, dBm,
           759999896,Hz,              -32.86, dBm,
           761666562,Hz,              -32.70, dBm,
           763333228,Hz,              -32.69, dBm,
           764999894,Hz,              -32.69, dBm,
           766666560,Hz,              -32.55, dBm,
           768333226,Hz,              -32.65, dBm,
           769999892,Hz,              -32.56, dBm,
           771666558,Hz,              -32.49, dBm,
           773333224,Hz,              -32.43, dBm,
           774999890,Hz,              -32.55, dBm,
           776666556,Hz,              -32.43, dBm,
           778333222,Hz,              -32.31, dBm,
           779999888,Hz,              -32.29, dBm,
           781666554,Hz,              -32.30, dBm,
           783333220,Hz,              -32.11, dBm,
           784999886,Hz,              -32.06, dBm,
           786666552,Hz,              -32.02, dBm,
           788333218,Hz,              -32.00, dBm,
           789999884,Hz,              -31.99, dBm,
           791666550,Hz,              -31.98, dBm,
           793333216,Hz,              -31.87, dBm,
           794999882,Hz,              -31.86, dBm,
           796666548,Hz,              -31.74, dBm,
           798333214,Hz,              -31.83, dBm,
           799999880,Hz,              -31.79, dBm,
           801666546,Hz,              -31.82, dBm,
           803333212,Hz,              -31.67, dBm,
           804999878,Hz,              -31.74, dBm,
           806666544,Hz,              -31.64, dBm,
           808333210,Hz,              -31.75, dBm,
           809999876,Hz,              -31.66, dBm,
           811666542,Hz,              -31.71, dBm,
           813333208,Hz,              -31.63, dBm,
           814999874,Hz,              -31.68, dBm,
           816666540,Hz,              -31.73, dBm,
           818333206,Hz,              -31.72, dBm,
