Trace1,
Freq,,Amp,,
           500000000,Hz,              -52.41, dBm,
           501666666,Hz,              -51.43, dBm,
           503333332,Hz,              -51.39, dBm,
           504999998,Hz,              -51.43, dBm,
           506666664,Hz,              -51.33, dBm,
           508333330,Hz,              -52.40, dBm,
           509999996,Hz,              -51.76, dBm,
           511666662,Hz,              -52.18, dBm,
           513333328,Hz,              -52.40, dBm,
           514999994,Hz,              -51.96, dBm,
           516666660,Hz,              -52.32, dBm,
           518333326,Hz,              -52.20, dBm,
           519999992,Hz,              -51.93, dBm,
           521666658,Hz,              -51.80, dBm,
           523333324,Hz,              -51.95, dBm,
           524999990,Hz,              -51.71, dBm,
           526666656,Hz,              -52.02, dBm,
           528333322,Hz,              -51.99, dBm,
           529999988,Hz,              -52.26, dBm,
           531666654,Hz,              -51.83, dBm,
           533333320,Hz,              -52.38, dBm,
           534999986,Hz,              -51.73, dBm,
           536666652,Hz,              -51.48, dBm,
           538333318,Hz,              -52.25, dBm,
           539999984,Hz,              -51.50, dBm,
           541666650,Hz,              -51.08, dBm,
           543333316,Hz,              -52.28, dBm,
           544999982,Hz,              -51.85, dBm,
           546666648,Hz,              -51.44, dBm,
           548333314,Hz,              -51.84, dBm,
           549999980,Hz,              -51.62, dBm,
           551666646,Hz,              -50.95, dBm,
           553333312,Hz,              -51.76, dBm,
           554999978,Hz,              -51.73, dBm,
           556666644,Hz,              -51.06, dBm,
           558333310,Hz,              -51.09, dBm,
           559999976,Hz,              -51.33, dBm,
           561666642,Hz,              -51.26, dBm,
           563333308,Hz,              -51.50, dBm,
           564999974,Hz,              -51.07, dBm,
           566666640,Hz,              -50.99, dBm,
           568333306,Hz,              -51.74, dBm,
           569999972,Hz,              -50.99, dBm,
           571666638,Hz,              -50.76, dBm,
           573333304,Hz,              -50.73, dBm,
           574999970,Hz,              -50.38, dBm,
           576666636,Hz,              -50.86, dBm,
           578333302,Hz,              -50.83, dBm,
           579999968,Hz,              -50.98, dBm,
           581666634,Hz,              -50.85, dBm,
           583333300,Hz,              -50.67, dBm,
           584999966,Hz,              -50.79, dBm,
           586666632,Hz,              -50.73, dBm,
           588333298,Hz,              -51.11, dBm,
           589999964,Hz,              -50.04, dBm,
           591666630,Hz,              -50.25, dBm,
           593333296,Hz,              -50.41, dBm,
           594999962,Hz,              -50.41, dBm,
           596666628,Hz,              -50.27, dBm,
           598333294,Hz,              -50.11, dBm,
           599999960,Hz,              -50.04, dBm,
           601666626,Hz,              -50.29, dBm,
           603333292,Hz,              -50.69, dBm,
           604999958,Hz,              -50.05, dBm,
           606666624,Hz,              -50.04, dBm,
           608333290,Hz,              -50.12, dBm,
           609999956,Hz,              -49.53, dBm,
           611666622,Hz,              -49.99, dBm,
           613333288,Hz,              -50.24, dBm,
           614999954,Hz,              -50.11, dBm,
           616666620,Hz,              -49.36, dBm,
           618333286,Hz,              -49.59, dBm,
           619999952,Hz,              -49.81, dBm,
           621666618,Hz,              -49.10, dBm,
           623333284,Hz,              -49.53, dBm,
           624999950,Hz,              -49.15, dBm,
           626666616,Hz,              -49.52, dBm,
           628333282,Hz,              -49.81, dBm,
           629999948,Hz,              -49.50, dBm,
           631666614,Hz,              -49.22, dBm,
           633333280,Hz,              -49.28, dBm,
           634999946,Hz,              -48.85, dBm,
           636666612,Hz,              -49.33, dBm,
           638333278,Hz,              -48.99, dBm,
           639999944,Hz,              -48.82, dBm,
           641666610,Hz,              -48.83, dBm,
           643333276,Hz,              -49.08, dBm,
           644999942,Hz,              -49.02, dBm,
           646666608,Hz,              -49.16, dBm,
           648333274,Hz,              -48.86, dBm,
           649999940,Hz,              -48.98, dBm,
           651666606,Hz,              -48.74, dBm,
           653333272,Hz,              -48.98, dBm,
           654999938,Hz,              -48.91, dBm,
           656666604,Hz,              -48.22, dBm,
           658333270,Hz,              -48.89, dBm,
           659999936,Hz,              -48.17, dBm,
           661666602,Hz,              -48.46, dBm,
           663333268,Hz,              -48.62, dBm,
           664999934,Hz,              -48.54, dBm,
           666666600,Hz,              -48.16, dBm,
           668333266,Hz,              -48.46, dBm,
           669999932,Hz,              -48.68, dBm,
           671666598,Hz,              -48.30, dBm,
           673333264,Hz,              -48.74, dBm,
           674999930,Hz,              -48.27, dBm,
           676666596,Hz,              -48.44, dBm,
           678333262,Hz,              -48.15, dBm,
           679999928,Hz,              -48.04, dBm,
           681666594,Hz,              -48.14, dBm,
