Trace1,
Freq,,Amp,,
                   0,Hz,              -15.70, dBm,
             2500000,Hz,              -55.67, dBm,
             5000000,Hz,              -56.88, dBm,
             7500000,Hz,              -58.34, dBm,
            10000000,Hz,              -58.11, dBm,
            12500000,Hz,              -58.22, dBm,
            15000000,Hz,              -59.73, dBm,
            17500000,Hz,              -59.67, dBm,
            20000000,Hz,              -59.75, dBm,
            22500000,Hz,              -60.04, dBm,
            25000000,Hz,              -59.48, dBm,
            27500000,Hz,              -59.90, dBm,
            30000000,Hz,              -60.22, dBm,
            32500000,Hz,              -60.02, dBm,
            35000000,Hz,              -60.08, dBm,
            37500000,Hz,              -59.72, dBm,
            40000000,Hz,              -60.45, dBm,
            42500000,Hz,              -60.14, dBm,
            45000000,Hz,              -60.01, dBm,
            47500000,Hz,              -60.52, dBm,
            50000000,Hz,              -59.94, dBm,
            52500000,Hz,              -60.44, dBm,
            55000000,Hz,              -60.16, dBm,
            57500000,Hz,              -59.80, dBm,
            60000000,Hz,              -59.95, dBm,
            62500000,Hz,              -59.67, dBm,
            65000000,Hz,              -60.38, dBm,
            67500000,Hz,              -60.36, dBm,
            70000000,Hz,              -59.86, dBm,
            72500000,Hz,              -59.90, dBm,
            75000000,Hz,              -60.47, dBm,
            77500000,Hz,              -60.06, dBm,
            80000000,Hz,              -59.75, dBm,
            82500000,Hz,              -59.81, dBm,
            85000000,Hz,              -60.35, dBm,
            87500000,Hz,              -59.47, dBm,
            90000000,Hz,              -60.50, dBm,
            92500000,Hz,              -58.09, dBm,
            95000000,Hz,              -59.95, dBm,
            97500000,Hz,              -59.11, dBm,
           100000000,Hz,              -56.47, dBm,
           102500000,Hz,              -59.94, dBm,
           105000000,Hz,              -60.01, dBm,
           107500000,Hz,              -60.01, dBm,
           110000000,Hz,              -60.26, dBm,
           112500000,Hz,              -59.60, dBm,
           115000000,Hz,              -59.62, dBm,
           117500000,Hz,              -60.31, dBm,
           120000000,Hz,              -59.91, dBm,
           122500000,Hz,              -60.19, dBm,
           125000000,Hz,              -60.40, dBm,
           127500000,Hz,              -59.45, dBm,
           130000000,Hz,              -59.67, dBm,
