Trace1,
Freq,,Amp,,
           500000000,Hz,              -23.42, dBm,
           501666666,Hz,              -23.39, dBm,
           503333332,Hz,              -23.36, dBm,
           504999998,Hz,              -23.32, dBm,
           506666664,Hz,              -23.38, dBm,
           508333330,Hz,              -23.47, dBm,
           509999996,Hz,              -23.50, dBm,
           511666662,Hz,              -23.56, dBm,
           513333328,Hz,              -23.57, dBm,
           514999994,Hz,              -23.59, dBm,
           516666660,Hz,              -23.69, dBm,
           518333326,Hz,              -23.75, dBm,
           519999992,Hz,              -23.80, dBm,
           521666658,Hz,              -23.85, dBm,
           523333324,Hz,              -23.89, dBm,
           524999990,Hz,              -23.88, dBm,
           526666656,Hz,              -23.90, dBm,
           528333322,Hz,              -23.91, dBm,
           529999988,Hz,              -23.89, dBm,
           531666654,Hz,              -23.81, dBm,
           533333320,Hz,              -23.80, dBm,
           534999986,Hz,              -23.79, dBm,
           536666652,Hz,              -23.79, dBm,
           538333318,Hz,              -23.83, dBm,
           539999984,Hz,              -23.86, dBm,
           541666650,Hz,              -23.87, dBm,
           543333316,Hz,              -23.94, dBm,
           544999982,Hz,              -23.96, dBm,
           546666648,Hz,              -24.07, dBm,
           548333314,Hz,              -23.99, dBm,
           549999980,Hz,              -24.16, dBm,
           551666646,Hz,              -24.22, dBm,
           553333312,Hz,              -24.28, dBm,
           554999978,Hz,              -24.34, dBm,
           556666644,Hz,              -24.31, dBm,
           558333310,Hz,              -24.17, dBm,
           559999976,Hz,              -24.29, dBm,
           561666642,Hz,              -24.25, dBm,
           563333308,Hz,              -24.25, dBm,
           564999974,Hz,              -24.20, dBm,
           566666640,Hz,              -24.16, dBm,
           568333306,Hz,              -24.10, dBm,
           569999972,Hz,              -24.13, dBm,
           571666638,Hz,              -24.12, dBm,
           573333304,Hz,              -24.05, dBm,
           574999970,Hz,              -24.05, dBm,
           576666636,Hz,              -24.07, dBm,
           578333302,Hz,              -24.03, dBm,
           579999968,Hz,              -24.00, dBm,
           581666634,Hz,              -24.01, dBm,
           583333300,Hz,              -23.96, dBm,
