Trace1,
Freq,,Amp,,
           500000000,Hz,              -19.41, dBm,
           501666666,Hz,              -19.35, dBm,
           503333332,Hz,              -19.29, dBm,
           504999998,Hz,              -19.21, dBm,
           506666664,Hz,              -19.15, dBm,
           508333330,Hz,              -19.13, dBm,
           509999996,Hz,              -19.08, dBm,
           511666662,Hz,              -19.05, dBm,
           513333328,Hz,              -19.02, dBm,
           514999994,Hz,              -18.98, dBm,
           516666660,Hz,              -18.92, dBm,
           518333326,Hz,              -18.89, dBm,
           519999992,Hz,              -18.85, dBm,
           521666658,Hz,              -18.78, dBm,
           523333324,Hz,              -18.74, dBm,
           524999990,Hz,              -18.70, dBm,
           526666656,Hz,              -18.68, dBm,
           528333322,Hz,              -18.65, dBm,
           529999988,Hz,              -18.63, dBm,
           531666654,Hz,              -18.60, dBm,
           533333320,Hz,              -18.59, dBm,
           534999986,Hz,              -18.60, dBm,
           536666652,Hz,              -18.57, dBm,
           538333318,Hz,              -18.51, dBm,
           539999984,Hz,              -18.48, dBm,
           541666650,Hz,              -18.46, dBm,
           543333316,Hz,              -18.40, dBm,
           544999982,Hz,              -18.37, dBm,
           546666648,Hz,              -18.30, dBm,
           548333314,Hz,              -18.27, dBm,
           549999980,Hz,              -18.19, dBm,
           551666646,Hz,              -18.14, dBm,
           553333312,Hz,              -18.09, dBm,
           554999978,Hz,              -18.10, dBm,
           556666644,Hz,              -18.04, dBm,
           558333310,Hz,              -17.96, dBm,
           559999976,Hz,              -17.92, dBm,
           561666642,Hz,              -17.81, dBm,
           563333308,Hz,              -17.79, dBm,
           564999974,Hz,              -17.69, dBm,
           566666640,Hz,              -17.62, dBm,
           568333306,Hz,              -17.55, dBm,
           569999972,Hz,              -17.43, dBm,
           571666638,Hz,              -17.32, dBm,
           573333304,Hz,              -17.27, dBm,
           574999970,Hz,              -17.16, dBm,
           576666636,Hz,              -17.13, dBm,
           578333302,Hz,              -17.12, dBm,
           579999968,Hz,              -17.10, dBm,
           581666634,Hz,              -17.10, dBm,
           583333300,Hz,              -17.12, dBm,
           584999966,Hz,              -17.15, dBm,
           586666632,Hz,              -17.18, dBm,
           588333298,Hz,              -17.21, dBm,
           589999964,Hz,              -17.21, dBm,
           591666630,Hz,              -17.24, dBm,
           593333296,Hz,              -17.24, dBm,
           594999962,Hz,              -17.25, dBm,
           596666628,Hz,              -17.23, dBm,
           598333294,Hz,              -17.24, dBm,
           599999960,Hz,              -17.25, dBm,
           601666626,Hz,              -17.23, dBm,
           603333292,Hz,              -17.25, dBm,
           604999958,Hz,              -17.24, dBm,
           606666624,Hz,              -17.23, dBm,
           608333290,Hz,              -17.23, dBm,
           609999956,Hz,              -17.22, dBm,
           611666622,Hz,              -17.23, dBm,
           613333288,Hz,              -17.24, dBm,
           614999954,Hz,              -17.19, dBm,
           616666620,Hz,              -17.10, dBm,
           618333286,Hz,              -17.05, dBm,
           619999952,Hz,              -16.99, dBm,
           621666618,Hz,              -16.89, dBm,
           623333284,Hz,              -16.85, dBm,
           624999950,Hz,              -16.78, dBm,
           626666616,Hz,              -16.65, dBm,
           628333282,Hz,              -16.62, dBm,
           629999948,Hz,              -16.54, dBm,
           631666614,Hz,              -16.48, dBm,
           633333280,Hz,              -16.44, dBm,
           634999946,Hz,              -16.41, dBm,
           636666612,Hz,              -16.38, dBm,
           638333278,Hz,              -16.34, dBm,
           639999944,Hz,              -16.35, dBm,
           641666610,Hz,              -16.35, dBm,
           643333276,Hz,              -16.38, dBm,
           644999942,Hz,              -16.38, dBm,
           646666608,Hz,              -16.41, dBm,
           648333274,Hz,              -16.44, dBm,
           649999940,Hz,              -16.48, dBm,
           651666606,Hz,              -16.51, dBm,
           653333272,Hz,              -16.59, dBm,
           654999938,Hz,              -16.62, dBm,
           656666604,Hz,              -16.68, dBm,
           658333270,Hz,              -16.72, dBm,
           659999936,Hz,              -16.84, dBm,
           661666602,Hz,              -16.89, dBm,
           663333268,Hz,              -16.91, dBm,
           664999934,Hz,              -16.99, dBm,
           666666600,Hz,              -17.04, dBm,
           668333266,Hz,              -17.06, dBm,
           669999932,Hz,              -17.11, dBm,
           671666598,Hz,              -17.17, dBm,
           673333264,Hz,              -17.21, dBm,
           674999930,Hz,              -17.24, dBm,
           676666596,Hz,              -17.25, dBm,
           678333262,Hz,              -17.28, dBm,
           679999928,Hz,              -17.29, dBm,
           681666594,Hz,              -17.24, dBm,
           683333260,Hz,              -17.21, dBm,
           684999926,Hz,              -17.20, dBm,
           686666592,Hz,              -17.12, dBm,
           688333258,Hz,              -17.03, dBm,
           689999924,Hz,              -16.97, dBm,
           691666590,Hz,              -16.86, dBm,
           693333256,Hz,              -16.75, dBm,
           694999922,Hz,              -16.65, dBm,
           696666588,Hz,              -16.57, dBm,
           698333254,Hz,              -16.50, dBm,
           699999920,Hz,              -16.41, dBm,
           701666586,Hz,              -16.34, dBm,
           703333252,Hz,              -16.32, dBm,
           704999918,Hz,              -16.29, dBm,
           706666584,Hz,              -16.25, dBm,
           708333250,Hz,              -16.24, dBm,
           709999916,Hz,              -16.24, dBm,
           711666582,Hz,              -16.26, dBm,
           713333248,Hz,              -16.30, dBm,
           714999914,Hz,              -16.29, dBm,
           716666580,Hz,              -16.32, dBm,
           718333246,Hz,              -16.35, dBm,
           719999912,Hz,              -16.38, dBm,
           721666578,Hz,              -16.39, dBm,
           723333244,Hz,              -16.40, dBm,
           724999910,Hz,              -16.40, dBm,
           726666576,Hz,              -16.44, dBm,
           728333242,Hz,              -16.53, dBm,
           729999908,Hz,              -16.53, dBm,
           731666574,Hz,              -16.56, dBm,
           733333240,Hz,              -16.56, dBm,
           734999906,Hz,              -16.60, dBm,
           736666572,Hz,              -16.60, dBm,
           738333238,Hz,              -16.64, dBm,
           739999904,Hz,              -16.64, dBm,
           741666570,Hz,              -16.62, dBm,
           743333236,Hz,              -16.65, dBm,
           744999902,Hz,              -16.69, dBm,
           746666568,Hz,              -16.77, dBm,
           748333234,Hz,              -16.86, dBm,
           749999900,Hz,              -16.97, dBm,
           751666566,Hz,              -16.98, dBm,
           753333232,Hz,              -17.02, dBm,
           754999898,Hz,              -16.98, dBm,
           756666564,Hz,              -16.91, dBm,
           758333230,Hz,              -16.82, dBm,
           759999896,Hz,              -16.77, dBm,
           761666562,Hz,              -16.67, dBm,
           763333228,Hz,              -16.59, dBm,
           764999894,Hz,              -16.46, dBm,
           766666560,Hz,              -16.42, dBm,
           768333226,Hz,              -16.33, dBm,
           769999892,Hz,              -16.24, dBm,
           771666558,Hz,              -16.21, dBm,
           773333224,Hz,              -16.15, dBm,
           774999890,Hz,              -16.16, dBm,
           776666556,Hz,              -16.16, dBm,
           778333222,Hz,              -16.18, dBm,
