Trace1,
Freq,,Amp,,
                   0,Hz,                4.67, dBm,
             2500000,Hz,              -36.49, dBm,
             5000000,Hz,              -37.95, dBm,
             7500000,Hz,              -38.35, dBm,
            10000000,Hz,              -39.83, dBm,
            12500000,Hz,              -39.94, dBm,
            15000000,Hz,              -40.63, dBm,
            17500000,Hz,              -40.20, dBm,
            20000000,Hz,              -40.23, dBm,
            22500000,Hz,              -40.71, dBm,
            25000000,Hz,              -40.89, dBm,
            27500000,Hz,              -40.86, dBm,
            30000000,Hz,              -40.82, dBm,
            32500000,Hz,              -41.17, dBm,
            35000000,Hz,              -40.40, dBm,
            37500000,Hz,              -40.65, dBm,
            40000000,Hz,              -41.62, dBm,
            42500000,Hz,              -40.75, dBm,
            45000000,Hz,              -40.87, dBm,
            47500000,Hz,              -41.20, dBm,
            50000000,Hz,              -40.48, dBm,
            52500000,Hz,              -41.11, dBm,
            55000000,Hz,              -40.07, dBm,
            57500000,Hz,              -40.97, dBm,
            60000000,Hz,              -40.05, dBm,
            62500000,Hz,              -41.14, dBm,
            65000000,Hz,              -40.79, dBm,
            67500000,Hz,              -41.05, dBm,
            70000000,Hz,              -40.16, dBm,
            72500000,Hz,              -40.95, dBm,
            75000000,Hz,              -40.19, dBm,
            77500000,Hz,              -41.23, dBm,
            80000000,Hz,              -41.11, dBm,
            82500000,Hz,              -40.93, dBm,
            85000000,Hz,              -40.21, dBm,
            87500000,Hz,              -40.88, dBm,
            90000000,Hz,              -40.75, dBm,
            92500000,Hz,              -41.44, dBm,
            95000000,Hz,              -40.18, dBm,
            97500000,Hz,              -40.79, dBm,
           100000000,Hz,              -40.76, dBm,
           102500000,Hz,              -40.94, dBm,
           105000000,Hz,              -40.92, dBm,
           107500000,Hz,              -40.42, dBm,
           110000000,Hz,              -40.52, dBm,
           112500000,Hz,              -41.15, dBm,
           115000000,Hz,              -40.25, dBm,
           117500000,Hz,              -40.32, dBm,
           120000000,Hz,              -41.32, dBm,
           122500000,Hz,              -40.28, dBm,
           125000000,Hz,              -40.95, dBm,
           127500000,Hz,              -40.78, dBm,
           130000000,Hz,              -40.66, dBm,
           132500000,Hz,              -41.31, dBm,
           135000000,Hz,              -39.82, dBm,
           137500000,Hz,              -41.02, dBm,
           140000000,Hz,              -40.75, dBm,
           142500000,Hz,              -40.60, dBm,
           145000000,Hz,              -41.20, dBm,
           147500000,Hz,              -40.59, dBm,
           150000000,Hz,              -40.53, dBm,
           152500000,Hz,              -40.72, dBm,
           155000000,Hz,              -40.66, dBm,
           157500000,Hz,              -40.85, dBm,
           160000000,Hz,              -41.08, dBm,
           162500000,Hz,              -40.53, dBm,
           165000000,Hz,              -41.12, dBm,
           167500000,Hz,              -40.92, dBm,
           170000000,Hz,              -39.85, dBm,
           172500000,Hz,              -40.59, dBm,
           175000000,Hz,              -40.72, dBm,
           177500000,Hz,              -40.98, dBm,
           180000000,Hz,              -41.09, dBm,
           182500000,Hz,              -41.32, dBm,
           185000000,Hz,              -40.51, dBm,
           187500000,Hz,              -41.19, dBm,
           190000000,Hz,              -40.39, dBm,
           192500000,Hz,              -40.81, dBm,
           195000000,Hz,              -40.75, dBm,
           197500000,Hz,              -40.04, dBm,
           200000000,Hz,              -41.08, dBm,
           202500000,Hz,              -41.25, dBm,
           205000000,Hz,              -40.86, dBm,
           207500000,Hz,              -40.81, dBm,
           210000000,Hz,              -41.09, dBm,
           212500000,Hz,              -39.74, dBm,
           215000000,Hz,              -41.57, dBm,
           217500000,Hz,              -40.78, dBm,
           220000000,Hz,              -41.06, dBm,
           222500000,Hz,              -41.10, dBm,
           225000000,Hz,              -40.56, dBm,
           227500000,Hz,              -40.58, dBm,
           230000000,Hz,              -40.99, dBm,
           232500000,Hz,              -40.94, dBm,
           235000000,Hz,              -41.17, dBm,
           237500000,Hz,              -41.20, dBm,
           240000000,Hz,              -40.36, dBm,
           242500000,Hz,              -41.52, dBm,
           245000000,Hz,              -40.02, dBm,
           247500000,Hz,              -40.98, dBm,
           250000000,Hz,              -40.92, dBm,
           252500000,Hz,              -40.28, dBm,
           255000000,Hz,              -40.16, dBm,
           257500000,Hz,              -40.39, dBm,
           260000000,Hz,              -40.38, dBm,
           262500000,Hz,              -40.34, dBm,
           265000000,Hz,              -40.37, dBm,
           267500000,Hz,              -40.38, dBm,
           270000000,Hz,              -40.77, dBm,
           272500000,Hz,              -40.74, dBm,
           275000000,Hz,              -40.88, dBm,
           277500000,Hz,              -40.77, dBm,
           280000000,Hz,              -40.73, dBm,
           282500000,Hz,              -40.54, dBm,
           285000000,Hz,              -40.78, dBm,
           287500000,Hz,              -40.46, dBm,
           290000000,Hz,              -40.03, dBm,
           292500000,Hz,              -40.00, dBm,
           295000000,Hz,              -39.64, dBm,
           297500000,Hz,              -41.04, dBm,
           300000000,Hz,              -39.28, dBm,
           302500000,Hz,              -41.13, dBm,
           305000000,Hz,              -40.04, dBm,
           307500000,Hz,              -39.83, dBm,
           310000000,Hz,              -40.14, dBm,
           312500000,Hz,              -41.04, dBm,
           315000000,Hz,              -40.61, dBm,
           317500000,Hz,              -41.08, dBm,
           320000000,Hz,              -40.36, dBm,
           322500000,Hz,              -40.37, dBm,
           325000000,Hz,              -40.94, dBm,
           327500000,Hz,              -40.57, dBm,
           330000000,Hz,              -40.67, dBm,
           332500000,Hz,              -40.52, dBm,
           335000000,Hz,              -40.85, dBm,
           337500000,Hz,              -40.58, dBm,
           340000000,Hz,              -39.67, dBm,
           342500000,Hz,              -40.67, dBm,
           345000000,Hz,              -40.37, dBm,
           347500000,Hz,              -40.95, dBm,
           350000000,Hz,              -40.85, dBm,
           352500000,Hz,              -39.98, dBm,
           355000000,Hz,              -40.11, dBm,
           357500000,Hz,              -40.26, dBm,
           360000000,Hz,              -40.28, dBm,
           362500000,Hz,              -39.78, dBm,
           365000000,Hz,              -40.47, dBm,
           367500000,Hz,              -40.73, dBm,
           370000000,Hz,              -39.87, dBm,
           372500000,Hz,              -40.72, dBm,
           375000000,Hz,              -39.49, dBm,
           377500000,Hz,              -40.30, dBm,
           380000000,Hz,              -40.46, dBm,
           382500000,Hz,              -40.18, dBm,
           385000000,Hz,              -40.37, dBm,
           387500000,Hz,              -40.50, dBm,
           390000000,Hz,              -40.55, dBm,
           392500000,Hz,              -40.56, dBm,
           395000000,Hz,              -39.83, dBm,
           397500000,Hz,              -39.91, dBm,
           400000000,Hz,              -40.77, dBm,
           402500000,Hz,              -40.65, dBm,
           405000000,Hz,              -40.17, dBm,
           407500000,Hz,              -39.90, dBm,
           410000000,Hz,              -40.22, dBm,
           412500000,Hz,              -39.96, dBm,
           415000000,Hz,              -40.15, dBm,
           417500000,Hz,              -40.08, dBm,
           420000000,Hz,              -40.24, dBm,
           422500000,Hz,              -39.25, dBm,
           425000000,Hz,              -39.81, dBm,
           427500000,Hz,              -40.08, dBm,
           430000000,Hz,              -40.51, dBm,
           432500000,Hz,              -40.34, dBm,
           435000000,Hz,              -40.54, dBm,
           437500000,Hz,              -39.77, dBm,
           440000000,Hz,              -39.84, dBm,
           442500000,Hz,              -40.00, dBm,
           445000000,Hz,              -39.79, dBm,
           447500000,Hz,              -40.24, dBm,
           450000000,Hz,              -39.32, dBm,
           452500000,Hz,              -39.99, dBm,
           455000000,Hz,              -40.18, dBm,
           457500000,Hz,              -40.05, dBm,
           460000000,Hz,              -39.66, dBm,
           462500000,Hz,              -40.24, dBm,
           465000000,Hz,              -39.92, dBm,
           467500000,Hz,              -40.57, dBm,
           470000000,Hz,              -38.96, dBm,
           472500000,Hz,              -39.46, dBm,
           475000000,Hz,              -39.87, dBm,
           477500000,Hz,              -39.75, dBm,
           480000000,Hz,              -40.23, dBm,
           482500000,Hz,              -39.84, dBm,
           485000000,Hz,              -40.37, dBm,
           487500000,Hz,              -39.37, dBm,
           490000000,Hz,              -38.65, dBm,
           492500000,Hz,              -39.86, dBm,
           495000000,Hz,              -40.00, dBm,
           497500000,Hz,              -39.67, dBm,
           500000000,Hz,              -39.22, dBm,
           502500000,Hz,              -39.79, dBm,
           505000000,Hz,              -39.49, dBm,
           507500000,Hz,              -39.61, dBm,
           510000000,Hz,              -39.38, dBm,
           512500000,Hz,              -39.97, dBm,
           515000000,Hz,              -39.14, dBm,
           517500000,Hz,              -39.05, dBm,
           520000000,Hz,              -40.24, dBm,
           522500000,Hz,              -39.46, dBm,
           525000000,Hz,              -39.48, dBm,
           527500000,Hz,              -39.60, dBm,
           530000000,Hz,              -39.71, dBm,
           532500000,Hz,              -38.97, dBm,
           535000000,Hz,              -39.40, dBm,
           537500000,Hz,              -38.45, dBm,
           540000000,Hz,              -39.66, dBm,
           542500000,Hz,              -39.29, dBm,
           545000000,Hz,              -39.43, dBm,
           547500000,Hz,              -39.52, dBm,
           550000000,Hz,              -39.46, dBm,
           552500000,Hz,              -39.73, dBm,
           555000000,Hz,              -39.58, dBm,
           557500000,Hz,              -39.81, dBm,
           560000000,Hz,              -39.90, dBm,
           562500000,Hz,              -38.91, dBm,
           565000000,Hz,              -39.31, dBm,
           567500000,Hz,              -39.32, dBm,
           570000000,Hz,              -39.53, dBm,
           572500000,Hz,              -39.67, dBm,
           575000000,Hz,              -40.10, dBm,
           577500000,Hz,              -39.40, dBm,
           580000000,Hz,              -39.38, dBm,
           582500000,Hz,              -39.58, dBm,
           585000000,Hz,              -39.45, dBm,
           587500000,Hz,              -40.23, dBm,
           590000000,Hz,              -39.85, dBm,
           592500000,Hz,              -39.87, dBm,
           595000000,Hz,              -40.04, dBm,
           597500000,Hz,              -40.19, dBm,
           600000000,Hz,              -39.89, dBm,
           602500000,Hz,              -39.61, dBm,
           605000000,Hz,              -39.48, dBm,
           607500000,Hz,              -40.18, dBm,
           610000000,Hz,              -39.52, dBm,
           612500000,Hz,              -39.49, dBm,
           615000000,Hz,              -39.73, dBm,
           617500000,Hz,              -39.83, dBm,
           620000000,Hz,              -40.15, dBm,
           622500000,Hz,              -40.24, dBm,
           625000000,Hz,              -40.09, dBm,
           627500000,Hz,              -39.78, dBm,
           630000000,Hz,              -40.07, dBm,
           632500000,Hz,              -39.86, dBm,
           635000000,Hz,              -39.78, dBm,
           637500000,Hz,              -40.15, dBm,
           640000000,Hz,              -39.39, dBm,
           642500000,Hz,              -39.52, dBm,
           645000000,Hz,              -39.93, dBm,
           647500000,Hz,              -39.22, dBm,
           650000000,Hz,              -40.13, dBm,
           652500000,Hz,              -40.13, dBm,
           655000000,Hz,              -39.99, dBm,
           657500000,Hz,              -40.03, dBm,
           660000000,Hz,              -39.87, dBm,
