Trace1,
Freq,,Amp,,
                   0,Hz,              -15.20, dBm,
             2500000,Hz,              -54.38, dBm,
             5000000,Hz,              -47.53, dBm,
             7500000,Hz,              -50.19, dBm,
            10000000,Hz,              -46.76, dBm,
            12500000,Hz,              -45.84, dBm,
            15000000,Hz,              -47.12, dBm,
            17500000,Hz,              -45.93, dBm,
            20000000,Hz,              -45.21, dBm,
            22500000,Hz,              -44.75, dBm,
            25000000,Hz,              -43.81, dBm,
            27500000,Hz,              -43.21, dBm,
            30000000,Hz,              -42.99, dBm,
            32500000,Hz,              -42.07, dBm,
            35000000,Hz,              -41.69, dBm,
            37500000,Hz,              -41.17, dBm,
            40000000,Hz,              -40.77, dBm,
            42500000,Hz,              -40.36, dBm,
            45000000,Hz,              -40.00, dBm,
            47500000,Hz,              -39.46, dBm,
            50000000,Hz,              -39.13, dBm,
            52500000,Hz,              -38.80, dBm,
            55000000,Hz,              -38.39, dBm,
            57500000,Hz,              -38.17, dBm,
            60000000,Hz,              -38.02, dBm,
            62500000,Hz,              -37.77, dBm,
            65000000,Hz,              -37.59, dBm,
            67500000,Hz,              -37.39, dBm,
            70000000,Hz,              -36.94, dBm,
            72500000,Hz,              -36.55, dBm,
            75000000,Hz,              -36.43, dBm,
            77500000,Hz,              -35.98, dBm,
            80000000,Hz,              -35.74, dBm,
            82500000,Hz,              -35.41, dBm,
            85000000,Hz,              -35.19, dBm,
            87500000,Hz,              -34.98, dBm,
            90000000,Hz,              -34.86, dBm,
            92500000,Hz,              -34.59, dBm,
            95000000,Hz,              -34.36, dBm,
            97500000,Hz,              -34.19, dBm,
           100000000,Hz,              -33.94, dBm,
           102500000,Hz,              -33.82, dBm,
           105000000,Hz,              -33.70, dBm,
           107500000,Hz,              -33.58, dBm,
           110000000,Hz,              -33.47, dBm,
           112500000,Hz,              -33.40, dBm,
           115000000,Hz,              -33.16, dBm,
           117500000,Hz,              -33.02, dBm,
           120000000,Hz,              -32.74, dBm,
           122500000,Hz,              -32.42, dBm,
           125000000,Hz,              -32.13, dBm,
           127500000,Hz,              -31.90, dBm,
           130000000,Hz,              -31.78, dBm,
           132500000,Hz,              -31.60, dBm,
           135000000,Hz,              -31.42, dBm,
           137500000,Hz,              -31.24, dBm,
           140000000,Hz,              -31.15, dBm,
           142500000,Hz,              -31.09, dBm,
           145000000,Hz,              -31.11, dBm,
           147500000,Hz,              -31.10, dBm,
           150000000,Hz,              -31.07, dBm,
           152500000,Hz,              -31.04, dBm,
           155000000,Hz,              -30.91, dBm,
           157500000,Hz,              -30.76, dBm,
           160000000,Hz,              -30.56, dBm,
           162500000,Hz,              -30.36, dBm,
           165000000,Hz,              -29.99, dBm,
           167500000,Hz,              -29.81, dBm,
           170000000,Hz,              -29.63, dBm,
           172500000,Hz,              -29.54, dBm,
           175000000,Hz,              -29.47, dBm,
           177500000,Hz,              -29.36, dBm,
           180000000,Hz,              -29.32, dBm,
           182500000,Hz,              -29.22, dBm,
           185000000,Hz,              -29.06, dBm,
           187500000,Hz,              -28.98, dBm,
           190000000,Hz,              -28.91, dBm,
           192500000,Hz,              -28.92, dBm,
           195000000,Hz,              -28.96, dBm,
           197500000,Hz,              -29.06, dBm,
           200000000,Hz,              -29.11, dBm,
           202500000,Hz,              -28.94, dBm,
           205000000,Hz,              -28.78, dBm,
           207500000,Hz,              -28.68, dBm,
           210000000,Hz,              -28.55, dBm,
           212500000,Hz,              -28.47, dBm,
           215000000,Hz,              -28.46, dBm,
           217500000,Hz,              -28.55, dBm,
           220000000,Hz,              -28.60, dBm,
           222500000,Hz,              -28.69, dBm,
           225000000,Hz,              -28.71, dBm,
           227500000,Hz,              -28.63, dBm,
           230000000,Hz,              -28.50, dBm,
           232500000,Hz,              -28.43, dBm,
           235000000,Hz,              -28.51, dBm,
           237500000,Hz,              -28.58, dBm,
           240000000,Hz,              -28.86, dBm,
           242500000,Hz,              -29.12, dBm,
           245000000,Hz,              -29.28, dBm,
           247500000,Hz,              -29.40, dBm,
           250000000,Hz,              -29.44, dBm,
           252500000,Hz,              -29.33, dBm,
           255000000,Hz,              -29.23, dBm,
           257500000,Hz,              -29.19, dBm,
           260000000,Hz,              -29.12, dBm,
           262500000,Hz,              -29.11, dBm,
           265000000,Hz,              -29.18, dBm,
           267500000,Hz,              -29.16, dBm,
           270000000,Hz,              -28.97, dBm,
           272500000,Hz,              -28.90, dBm,
           275000000,Hz,              -28.83, dBm,
           277500000,Hz,              -28.83, dBm,
           280000000,Hz,              -28.92, dBm,
           282500000,Hz,              -29.08, dBm,
           285000000,Hz,              -29.25, dBm,
           287500000,Hz,              -29.44, dBm,
           290000000,Hz,              -29.61, dBm,
           292500000,Hz,              -29.61, dBm,
           295000000,Hz,              -29.46, dBm,
           297500000,Hz,              -29.35, dBm,
           300000000,Hz,              -29.20, dBm,
           302500000,Hz,              -29.14, dBm,
           305000000,Hz,              -28.99, dBm,
           307500000,Hz,              -28.88, dBm,
           310000000,Hz,              -28.78, dBm,
           312500000,Hz,              -28.71, dBm,
           315000000,Hz,              -28.72, dBm,
           317500000,Hz,              -28.73, dBm,
