Trace1,
Freq,,Amp,,
                   0,Hz,               -5.19, dBm,
             2500000,Hz,                4.17, dBm,
             5000000,Hz,                1.30, dBm,
             7500000,Hz,                0.34, dBm,
            10000000,Hz,               -0.69, dBm,
            12500000,Hz,               -1.54, dBm,
            15000000,Hz,               -2.20, dBm,
            17500000,Hz,               -2.57, dBm,
            20000000,Hz,               -3.02, dBm,
            22500000,Hz,               -3.46, dBm,
            25000000,Hz,               -4.13, dBm,
            27500000,Hz,               -4.33, dBm,
            30000000,Hz,               -4.71, dBm,
            32500000,Hz,               -4.97, dBm,
            35000000,Hz,               -5.28, dBm,
            37500000,Hz,               -5.63, dBm,
            40000000,Hz,               -5.87, dBm,
            42500000,Hz,               -6.20, dBm,
            45000000,Hz,               -6.52, dBm,
            47500000,Hz,               -6.78, dBm,
            50000000,Hz,               -7.24, dBm,
            52500000,Hz,               -7.40, dBm,
            55000000,Hz,               -7.66, dBm,
            57500000,Hz,               -8.05, dBm,
            60000000,Hz,               -8.33, dBm,
            62500000,Hz,               -8.46, dBm,
            65000000,Hz,               -8.64, dBm,
            67500000,Hz,               -8.93, dBm,
            70000000,Hz,               -9.13, dBm,
            72500000,Hz,               -9.35, dBm,
            75000000,Hz,               -9.58, dBm,
            77500000,Hz,               -9.81, dBm,
            80000000,Hz,              -10.07, dBm,
            82500000,Hz,              -10.16, dBm,
            85000000,Hz,              -10.44, dBm,
            87500000,Hz,              -10.49, dBm,
            90000000,Hz,              -10.72, dBm,
            92500000,Hz,              -10.87, dBm,
            95000000,Hz,              -11.04, dBm,
            97500000,Hz,              -11.30, dBm,
           100000000,Hz,              -11.56, dBm,
           102500000,Hz,              -11.75, dBm,
           105000000,Hz,              -11.85, dBm,
           107500000,Hz,              -12.05, dBm,
           110000000,Hz,              -12.13, dBm,
           112500000,Hz,              -12.33, dBm,
           115000000,Hz,              -12.49, dBm,
           117500000,Hz,              -12.60, dBm,
           120000000,Hz,              -12.67, dBm,
           122500000,Hz,              -12.89, dBm,
           125000000,Hz,              -12.99, dBm,
           127500000,Hz,              -13.10, dBm,
           130000000,Hz,              -13.19, dBm,
           132500000,Hz,              -13.26, dBm,
           135000000,Hz,              -13.30, dBm,
           137500000,Hz,              -13.43, dBm,
           140000000,Hz,              -13.53, dBm,
           142500000,Hz,              -13.76, dBm,
           145000000,Hz,              -13.87, dBm,
           147500000,Hz,              -13.98, dBm,
           150000000,Hz,              -14.14, dBm,
           152500000,Hz,              -14.17, dBm,
           155000000,Hz,              -14.34, dBm,
           157500000,Hz,              -14.44, dBm,
           160000000,Hz,              -14.50, dBm,
           162500000,Hz,              -14.67, dBm,
           165000000,Hz,              -14.76, dBm,
           167500000,Hz,              -14.90, dBm,
           170000000,Hz,              -15.09, dBm,
           172500000,Hz,              -15.18, dBm,
           175000000,Hz,              -15.22, dBm,
           177500000,Hz,              -15.31, dBm,
           180000000,Hz,              -15.40, dBm,
           182500000,Hz,              -15.49, dBm,
           185000000,Hz,              -15.61, dBm,
           187500000,Hz,              -15.74, dBm,
           190000000,Hz,              -15.86, dBm,
           192500000,Hz,              -16.03, dBm,
           195000000,Hz,              -16.17, dBm,
           197500000,Hz,              -16.25, dBm,
           200000000,Hz,              -16.32, dBm,
           202500000,Hz,              -16.33, dBm,
           205000000,Hz,              -16.36, dBm,
           207500000,Hz,              -16.49, dBm,
           210000000,Hz,              -16.59, dBm,
           212500000,Hz,              -16.61, dBm,
           215000000,Hz,              -16.75, dBm,
           217500000,Hz,              -16.83, dBm,
           220000000,Hz,              -16.87, dBm,
           222500000,Hz,              -16.91, dBm,
           225000000,Hz,              -16.90, dBm,
           227500000,Hz,              -16.95, dBm,
           230000000,Hz,              -17.02, dBm,
