Trace1,
Freq,,Amp,,
                   0,Hz,               -5.20, dBm,
             2500000,Hz,              -53.29, dBm,
             5000000,Hz,              -47.99, dBm,
             7500000,Hz,              -52.02, dBm,
            10000000,Hz,              -49.24, dBm,
            12500000,Hz,              -49.04, dBm,
            15000000,Hz,              -48.25, dBm,
            17500000,Hz,              -46.40, dBm,
            20000000,Hz,              -46.53, dBm,
            22500000,Hz,              -46.04, dBm,
            25000000,Hz,              -45.02, dBm,
            27500000,Hz,              -44.10, dBm,
            30000000,Hz,              -44.03, dBm,
            32500000,Hz,              -42.65, dBm,
            35000000,Hz,              -42.68, dBm,
            37500000,Hz,              -41.95, dBm,
            40000000,Hz,              -41.64, dBm,
            42500000,Hz,              -41.56, dBm,
            45000000,Hz,              -41.25, dBm,
            47500000,Hz,              -40.57, dBm,
            50000000,Hz,              -40.58, dBm,
            52500000,Hz,              -39.79, dBm,
            55000000,Hz,              -39.61, dBm,
            57500000,Hz,              -39.39, dBm,
            60000000,Hz,              -39.04, dBm,
            62500000,Hz,              -38.98, dBm,
            65000000,Hz,              -38.43, dBm,
            67500000,Hz,              -38.21, dBm,
            70000000,Hz,              -37.95, dBm,
            72500000,Hz,              -37.56, dBm,
            75000000,Hz,              -37.35, dBm,
            77500000,Hz,              -37.22, dBm,
            80000000,Hz,              -36.87, dBm,
            82500000,Hz,              -36.28, dBm,
            85000000,Hz,              -36.45, dBm,
            87500000,Hz,              -35.92, dBm,
            90000000,Hz,              -35.88, dBm,
            92500000,Hz,              -35.82, dBm,
            95000000,Hz,              -35.34, dBm,
            97500000,Hz,              -35.37, dBm,
           100000000,Hz,              -35.14, dBm,
           102500000,Hz,              -34.94, dBm,
           105000000,Hz,              -34.78, dBm,
           107500000,Hz,              -34.75, dBm,
           110000000,Hz,              -34.54, dBm,
           112500000,Hz,              -34.39, dBm,
           115000000,Hz,              -34.25, dBm,
           117500000,Hz,              -34.24, dBm,
           120000000,Hz,              -33.90, dBm,
           122500000,Hz,              -33.71, dBm,
           125000000,Hz,              -33.33, dBm,
           127500000,Hz,              -33.14, dBm,
