Trace1,
Freq,,Amp,,
                   0,Hz,               -5.18, dBm,
             2500000,Hz,                2.41, dBm,
             5000000,Hz,                3.66, dBm,
             7500000,Hz,                0.67, dBm,
            10000000,Hz,               -0.41, dBm,
            12500000,Hz,               -1.16, dBm,
            15000000,Hz,               -1.90, dBm,
            17500000,Hz,               -2.30, dBm,
            20000000,Hz,               -2.75, dBm,
            22500000,Hz,               -3.24, dBm,
            25000000,Hz,               -3.69, dBm,
            27500000,Hz,               -4.06, dBm,
            30000000,Hz,               -4.39, dBm,
            32500000,Hz,               -4.79, dBm,
            35000000,Hz,               -5.10, dBm,
            37500000,Hz,               -5.43, dBm,
            40000000,Hz,               -5.65, dBm,
            42500000,Hz,               -6.06, dBm,
            45000000,Hz,               -6.38, dBm,
            47500000,Hz,               -6.70, dBm,
            50000000,Hz,               -6.91, dBm,
            52500000,Hz,               -7.19, dBm,
            55000000,Hz,               -7.51, dBm,
            57500000,Hz,               -7.79, dBm,
            60000000,Hz,               -8.03, dBm,
            62500000,Hz,               -8.24, dBm,
            65000000,Hz,               -8.44, dBm,
            67500000,Hz,               -8.72, dBm,
            70000000,Hz,               -8.95, dBm,
            72500000,Hz,               -9.17, dBm,
            75000000,Hz,               -9.39, dBm,
            77500000,Hz,               -9.58, dBm,
            80000000,Hz,               -9.81, dBm,
            82500000,Hz,               -9.98, dBm,
            85000000,Hz,              -10.22, dBm,
            87500000,Hz,              -10.35, dBm,
            90000000,Hz,              -10.57, dBm,
            92500000,Hz,              -10.70, dBm,
            95000000,Hz,              -10.87, dBm,
            97500000,Hz,              -11.11, dBm,
           100000000,Hz,              -11.32, dBm,
           102500000,Hz,              -11.52, dBm,
           105000000,Hz,              -11.71, dBm,
           107500000,Hz,              -11.88, dBm,
           110000000,Hz,              -11.96, dBm,
           112500000,Hz,              -12.14, dBm,
           115000000,Hz,              -12.31, dBm,
           117500000,Hz,              -12.43, dBm,
           120000000,Hz,              -12.56, dBm,
           122500000,Hz,              -12.67, dBm,
           125000000,Hz,              -12.80, dBm,
           127500000,Hz,              -12.93, dBm,
           130000000,Hz,              -13.03, dBm,
           132500000,Hz,              -13.09, dBm,
           135000000,Hz,              -13.19, dBm,
           137500000,Hz,              -13.24, dBm,
           140000000,Hz,              -13.42, dBm,
           142500000,Hz,              -13.53, dBm,
           145000000,Hz,              -13.69, dBm,
           147500000,Hz,              -13.84, dBm,
           150000000,Hz,              -13.97, dBm,
           152500000,Hz,              -14.14, dBm,
           155000000,Hz,              -14.19, dBm,
           157500000,Hz,              -14.33, dBm,
           160000000,Hz,              -14.40, dBm,
           162500000,Hz,              -14.51, dBm,
           165000000,Hz,              -14.64, dBm,
           167500000,Hz,              -14.78, dBm,
           170000000,Hz,              -14.94, dBm,
           172500000,Hz,              -15.05, dBm,
           175000000,Hz,              -15.12, dBm,
           177500000,Hz,              -15.22, dBm,
           180000000,Hz,              -15.30, dBm,
           182500000,Hz,              -15.37, dBm,
           185000000,Hz,              -15.47, dBm,
           187500000,Hz,              -15.60, dBm,
           190000000,Hz,              -15.65, dBm,
           192500000,Hz,              -15.85, dBm,
           195000000,Hz,              -15.94, dBm,
           197500000,Hz,              -16.09, dBm,
           200000000,Hz,              -16.13, dBm,
           202500000,Hz,              -16.19, dBm,
           205000000,Hz,              -16.17, dBm,
           207500000,Hz,              -16.25, dBm,
           210000000,Hz,              -16.34, dBm,
           212500000,Hz,              -16.39, dBm,
           215000000,Hz,              -16.48, dBm,
