Trace1,
Freq,,Amp,,
           500000000,Hz,              -30.51, dBm,
           501666666,Hz,              -30.42, dBm,
           503333332,Hz,              -30.36, dBm,
           504999998,Hz,              -30.56, dBm,
           506666664,Hz,              -30.76, dBm,
           508333330,Hz,              -30.79, dBm,
           509999996,Hz,              -30.79, dBm,
           511666662,Hz,              -30.84, dBm,
           513333328,Hz,              -30.81, dBm,
           514999994,Hz,              -30.80, dBm,
           516666660,Hz,              -30.76, dBm,
           518333326,Hz,              -30.68, dBm,
           519999992,Hz,              -30.65, dBm,
           521666658,Hz,              -30.64, dBm,
           523333324,Hz,              -30.58, dBm,
           524999990,Hz,              -30.54, dBm,
           526666656,Hz,              -30.46, dBm,
           528333322,Hz,              -30.46, dBm,
           529999988,Hz,              -30.39, dBm,
           531666654,Hz,              -30.33, dBm,
           533333320,Hz,              -30.27, dBm,
           534999986,Hz,              -30.20, dBm,
           536666652,Hz,              -30.18, dBm,
           538333318,Hz,              -30.12, dBm,
           539999984,Hz,              -30.06, dBm,
           541666650,Hz,              -30.02, dBm,
           543333316,Hz,              -29.99, dBm,
           544999982,Hz,              -29.94, dBm,
           546666648,Hz,              -29.90, dBm,
           548333314,Hz,              -29.86, dBm,
           549999980,Hz,              -29.83, dBm,
           551666646,Hz,              -29.78, dBm,
           553333312,Hz,              -29.75, dBm,
           554999978,Hz,              -29.73, dBm,
           556666644,Hz,              -29.70, dBm,
           558333310,Hz,              -29.64, dBm,
           559999976,Hz,              -29.65, dBm,
           561666642,Hz,              -29.62, dBm,
           563333308,Hz,              -29.56, dBm,
           564999974,Hz,              -29.59, dBm,
           566666640,Hz,              -29.57, dBm,
           568333306,Hz,              -29.53, dBm,
           569999972,Hz,              -29.53, dBm,
           571666638,Hz,              -29.51, dBm,
           573333304,Hz,              -29.49, dBm,
           574999970,Hz,              -29.49, dBm,
           576666636,Hz,              -29.46, dBm,
           578333302,Hz,              -29.47, dBm,
           579999968,Hz,              -29.47, dBm,
           581666634,Hz,              -29.43, dBm,
           583333300,Hz,              -29.47, dBm,
           584999966,Hz,              -29.43, dBm,
           586666632,Hz,              -29.43, dBm,
           588333298,Hz,              -29.44, dBm,
           589999964,Hz,              -29.42, dBm,
           591666630,Hz,              -29.42, dBm,
           593333296,Hz,              -29.40, dBm,
           594999962,Hz,              -29.41, dBm,
           596666628,Hz,              -29.43, dBm,
           598333294,Hz,              -29.42, dBm,
           599999960,Hz,              -29.42, dBm,
           601666626,Hz,              -29.42, dBm,
           603333292,Hz,              -29.42, dBm,
           604999958,Hz,              -29.42, dBm,
           606666624,Hz,              -29.42, dBm,
           608333290,Hz,              -29.44, dBm,
           609999956,Hz,              -29.46, dBm,
           611666622,Hz,              -29.48, dBm,
           613333288,Hz,              -29.50, dBm,
           614999954,Hz,              -29.50, dBm,
           616666620,Hz,              -29.52, dBm,
           618333286,Hz,              -29.52, dBm,
           619999952,Hz,              -29.53, dBm,
           621666618,Hz,              -29.57, dBm,
           623333284,Hz,              -29.56, dBm,
           624999950,Hz,              -29.62, dBm,
           626666616,Hz,              -29.64, dBm,
           628333282,Hz,              -29.67, dBm,
           629999948,Hz,              -29.71, dBm,
           631666614,Hz,              -29.71, dBm,
           633333280,Hz,              -29.73, dBm,
           634999946,Hz,              -29.74, dBm,
           636666612,Hz,              -29.79, dBm,
           638333278,Hz,              -29.86, dBm,
           639999944,Hz,              -29.89, dBm,
           641666610,Hz,              -29.89, dBm,
           643333276,Hz,              -29.96, dBm,
           644999942,Hz,              -30.01, dBm,
           646666608,Hz,              -30.04, dBm,
           648333274,Hz,              -30.05, dBm,
           649999940,Hz,              -30.08, dBm,
           651666606,Hz,              -30.12, dBm,
           653333272,Hz,              -30.15, dBm,
           654999938,Hz,              -30.14, dBm,
           656666604,Hz,              -30.22, dBm,
           658333270,Hz,              -30.25, dBm,
           659999936,Hz,              -30.25, dBm,
           661666602,Hz,              -30.29, dBm,
           663333268,Hz,              -30.28, dBm,
           664999934,Hz,              -30.29, dBm,
           666666600,Hz,              -30.31, dBm,
           668333266,Hz,              -30.33, dBm,
           669999932,Hz,              -30.33, dBm,
           671666598,Hz,              -30.34, dBm,
           673333264,Hz,              -30.34, dBm,
           674999930,Hz,              -30.38, dBm,
           676666596,Hz,              -30.37, dBm,
           678333262,Hz,              -30.38, dBm,
           679999928,Hz,              -30.38, dBm,
           681666594,Hz,              -30.41, dBm,
           683333260,Hz,              -30.41, dBm,
           684999926,Hz,              -30.47, dBm,
           686666592,Hz,              -30.47, dBm,
           688333258,Hz,              -30.46, dBm,
           689999924,Hz,              -30.51, dBm,
           691666590,Hz,              -30.48, dBm,
           693333256,Hz,              -30.49, dBm,
           694999922,Hz,              -30.56, dBm,
           696666588,Hz,              -30.58, dBm,
           698333254,Hz,              -30.59, dBm,
           699999920,Hz,              -30.60, dBm,
           701666586,Hz,              -30.65, dBm,
           703333252,Hz,              -30.73, dBm,
           704999918,Hz,              -30.74, dBm,
           706666584,Hz,              -30.77, dBm,
           708333250,Hz,              -30.81, dBm,
           709999916,Hz,              -30.82, dBm,
