Trace1,
Freq,,Amp,,
                   0,Hz,               -5.22, dBm,
             2500000,Hz,              -49.42, dBm,
             5000000,Hz,              -46.06, dBm,
             7500000,Hz,              -44.42, dBm,
            10000000,Hz,              -43.71, dBm,
            12500000,Hz,              -42.90, dBm,
            15000000,Hz,              -41.29, dBm,
            17500000,Hz,              -40.78, dBm,
            20000000,Hz,              -40.22, dBm,
            22500000,Hz,              -39.52, dBm,
            25000000,Hz,              -38.97, dBm,
            27500000,Hz,              -38.41, dBm,
            30000000,Hz,              -37.94, dBm,
            32500000,Hz,              -37.57, dBm,
            35000000,Hz,              -36.73, dBm,
            37500000,Hz,              -36.54, dBm,
            40000000,Hz,              -36.00, dBm,
            42500000,Hz,              -35.80, dBm,
            45000000,Hz,              -35.80, dBm,
            47500000,Hz,              -35.31, dBm,
            50000000,Hz,              -35.45, dBm,
            52500000,Hz,              -35.41, dBm,
            55000000,Hz,              -35.04, dBm,
            57500000,Hz,              -35.13, dBm,
            60000000,Hz,              -34.92, dBm,
            62500000,Hz,              -34.67, dBm,
            65000000,Hz,              -34.48, dBm,
            67500000,Hz,              -34.00, dBm,
            70000000,Hz,              -33.88, dBm,
            72500000,Hz,              -33.35, dBm,
            75000000,Hz,              -33.10, dBm,
            77500000,Hz,              -32.63, dBm,
            80000000,Hz,              -32.38, dBm,
            82500000,Hz,              -31.95, dBm,
            85000000,Hz,              -31.57, dBm,
            87500000,Hz,              -31.04, dBm,
            90000000,Hz,              -30.64, dBm,
            92500000,Hz,              -30.25, dBm,
            95000000,Hz,              -29.82, dBm,
            97500000,Hz,              -29.73, dBm,
           100000000,Hz,              -29.29, dBm,
           102500000,Hz,              -28.97, dBm,
           105000000,Hz,              -28.72, dBm,
           107500000,Hz,              -28.51, dBm,
           110000000,Hz,              -28.29, dBm,
           112500000,Hz,              -28.04, dBm,
           115000000,Hz,              -27.85, dBm,
           117500000,Hz,              -27.70, dBm,
           120000000,Hz,              -27.57, dBm,
           122500000,Hz,              -27.29, dBm,
           125000000,Hz,              -27.15, dBm,
           127500000,Hz,              -27.09, dBm,
           130000000,Hz,              -27.00, dBm,
           132500000,Hz,              -26.84, dBm,
           135000000,Hz,              -26.55, dBm,
           137500000,Hz,              -26.44, dBm,
           140000000,Hz,              -26.15, dBm,
           142500000,Hz,              -26.03, dBm,
           145000000,Hz,              -25.87, dBm,
           147500000,Hz,              -25.50, dBm,
           150000000,Hz,              -25.32, dBm,
           152500000,Hz,              -25.08, dBm,
           155000000,Hz,              -24.81, dBm,
           157500000,Hz,              -24.59, dBm,
           160000000,Hz,              -24.26, dBm,
           162500000,Hz,              -24.09, dBm,
           165000000,Hz,              -23.88, dBm,
           167500000,Hz,              -23.65, dBm,
           170000000,Hz,              -23.37, dBm,
           172500000,Hz,              -23.32, dBm,
           175000000,Hz,              -23.16, dBm,
           177500000,Hz,              -22.98, dBm,
           180000000,Hz,              -22.83, dBm,
           182500000,Hz,              -22.69, dBm,
           185000000,Hz,              -22.56, dBm,
           187500000,Hz,              -22.63, dBm,
           190000000,Hz,              -22.61, dBm,
           192500000,Hz,              -22.47, dBm,
           195000000,Hz,              -22.52, dBm,
           197500000,Hz,              -22.50, dBm,
           200000000,Hz,              -22.42, dBm,
           202500000,Hz,              -22.21, dBm,
           205000000,Hz,              -22.12, dBm,
           207500000,Hz,              -22.21, dBm,
           210000000,Hz,              -22.10, dBm,
           212500000,Hz,              -21.95, dBm,
           215000000,Hz,              -21.95, dBm,
           217500000,Hz,              -21.93, dBm,
           220000000,Hz,              -21.76, dBm,
           222500000,Hz,              -21.58, dBm,
           225000000,Hz,              -21.50, dBm,
           227500000,Hz,              -21.46, dBm,
           230000000,Hz,              -21.22, dBm,
           232500000,Hz,              -20.94, dBm,
           235000000,Hz,              -20.80, dBm,
           237500000,Hz,              -20.59, dBm,
           240000000,Hz,              -20.39, dBm,
           242500000,Hz,              -20.31, dBm,
           245000000,Hz,              -20.22, dBm,
