Trace1,
Freq,,Amp,,
                   0,Hz,               -5.20, dBm,
             2500000,Hz,              -50.72, dBm,
             5000000,Hz,              -50.05, dBm,
             7500000,Hz,              -51.63, dBm,
            10000000,Hz,              -49.81, dBm,
            12500000,Hz,              -53.20, dBm,
            15000000,Hz,              -51.45, dBm,
            17500000,Hz,              -53.11, dBm,
            20000000,Hz,              -50.68, dBm,
            22500000,Hz,              -52.55, dBm,
            25000000,Hz,              -53.18, dBm,
            27500000,Hz,              -52.72, dBm,
            30000000,Hz,              -52.60, dBm,
            32500000,Hz,              -51.81, dBm,
            35000000,Hz,              -50.97, dBm,
            37500000,Hz,              -51.03, dBm,
            40000000,Hz,              -50.61, dBm,
            42500000,Hz,              -50.55, dBm,
            45000000,Hz,              -50.19, dBm,
            47500000,Hz,              -49.56, dBm,
            50000000,Hz,              -48.92, dBm,
            52500000,Hz,              -49.09, dBm,
            55000000,Hz,              -48.49, dBm,
            57500000,Hz,              -48.45, dBm,
            60000000,Hz,              -48.85, dBm,
            62500000,Hz,              -49.04, dBm,
            65000000,Hz,              -48.40, dBm,
            67500000,Hz,              -47.62, dBm,
            70000000,Hz,              -46.85, dBm,
            72500000,Hz,              -46.95, dBm,
            75000000,Hz,              -47.04, dBm,
            77500000,Hz,              -46.87, dBm,
            80000000,Hz,              -46.51, dBm,
            82500000,Hz,              -45.80, dBm,
            85000000,Hz,              -45.83, dBm,
            87500000,Hz,              -45.80, dBm,
            90000000,Hz,              -45.57, dBm,
            92500000,Hz,              -45.69, dBm,
            95000000,Hz,              -45.54, dBm,
            97500000,Hz,              -44.79, dBm,
           100000000,Hz,              -44.94, dBm,
           102500000,Hz,              -44.71, dBm,
           105000000,Hz,              -44.64, dBm,
           107500000,Hz,              -44.80, dBm,
           110000000,Hz,              -44.75, dBm,
           112500000,Hz,              -44.83, dBm,
           115000000,Hz,              -44.60, dBm,
           117500000,Hz,              -44.30, dBm,
           120000000,Hz,              -44.26, dBm,
           122500000,Hz,              -43.33, dBm,
           125000000,Hz,              -43.30, dBm,
           127500000,Hz,              -43.12, dBm,
           130000000,Hz,              -43.14, dBm,
