Trace1,
Freq,,Amp,,
                   0,Hz,                4.81, dBm,
             2500000,Hz,              -36.35, dBm,
             5000000,Hz,              -37.54, dBm,
             7500000,Hz,              -38.92, dBm,
            10000000,Hz,              -39.24, dBm,
            12500000,Hz,              -39.76, dBm,
            15000000,Hz,              -40.00, dBm,
            17500000,Hz,              -40.18, dBm,
            20000000,Hz,              -39.87, dBm,
            22500000,Hz,              -39.77, dBm,
            25000000,Hz,              -40.43, dBm,
            27500000,Hz,              -40.13, dBm,
            30000000,Hz,              -40.74, dBm,
            32500000,Hz,              -40.93, dBm,
            35000000,Hz,              -40.49, dBm,
            37500000,Hz,              -40.61, dBm,
            40000000,Hz,              -39.56, dBm,
            42500000,Hz,              -40.47, dBm,
            45000000,Hz,              -40.64, dBm,
            47500000,Hz,              -40.83, dBm,
            50000000,Hz,              -40.63, dBm,
            52500000,Hz,              -40.55, dBm,
            55000000,Hz,              -40.62, dBm,
            57500000,Hz,              -41.21, dBm,
            60000000,Hz,              -40.43, dBm,
            62500000,Hz,              -40.49, dBm,
            65000000,Hz,              -41.06, dBm,
            67500000,Hz,              -40.52, dBm,
            70000000,Hz,              -40.65, dBm,
            72500000,Hz,              -41.60, dBm,
            75000000,Hz,              -41.12, dBm,
            77500000,Hz,              -40.46, dBm,
            80000000,Hz,              -40.73, dBm,
            82500000,Hz,              -40.95, dBm,
            85000000,Hz,              -40.81, dBm,
            87500000,Hz,              -40.41, dBm,
            90000000,Hz,              -41.19, dBm,
            92500000,Hz,              -40.72, dBm,
            95000000,Hz,              -41.23, dBm,
            97500000,Hz,              -40.87, dBm,
           100000000,Hz,              -40.56, dBm,
           102500000,Hz,              -41.07, dBm,
           105000000,Hz,              -40.68, dBm,
           107500000,Hz,              -40.08, dBm,
           110000000,Hz,              -40.38, dBm,
           112500000,Hz,              -40.32, dBm,
           115000000,Hz,              -39.42, dBm,
           117500000,Hz,              -39.61, dBm,
           120000000,Hz,              -40.39, dBm,
           122500000,Hz,              -40.41, dBm,
           125000000,Hz,              -40.69, dBm,
           127500000,Hz,              -40.76, dBm,
           130000000,Hz,              -40.43, dBm,
           132500000,Hz,              -40.67, dBm,
           135000000,Hz,              -40.50, dBm,
           137500000,Hz,              -39.93, dBm,
           140000000,Hz,              -40.74, dBm,
           142500000,Hz,              -40.23, dBm,
           145000000,Hz,              -40.74, dBm,
